Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,122,1
0,2016,childhood asthma,06-17,98,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,220,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,114,1
0,2016,adult asthma,65+,17,0
0,2016,adult asthma,total,131,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,160,1
0,2016,dementia,total,160,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,14,0
0,2016,diabetes,18-64,220,1
0,2016,diabetes,65+,96,1
0,2016,diabetes,total,338,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,2,0
0,2016,low birth weight,18-64,148,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,150,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,11,0
0,2016,lung cancer,65+,32,0
0,2016,lung cancer,total,43,0
0,2016,total,total,1042,3
0,2017,childhood asthma,0-5,123,1
0,2017,childhood asthma,06-17,96,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,219,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,114,1
0,2017,adult asthma,65+,16,0
0,2017,adult asthma,total,130,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,150,1
0,2017,dementia,total,150,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,13,0
0,2017,diabetes,18-64,220,1
0,2017,diabetes,65+,94,1
0,2017,diabetes,total,334,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,2,0
0,2017,low birth weight,18-64,145,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,147,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,11,0
0,2017,lung cancer,65+,30,0
0,2017,lung cancer,total,41,0
0,2017,total,total,1021,3
0,2018,childhood asthma,0-5,123,1
0,2018,childhood asthma,06-17,96,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,219,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,113,1
0,2018,adult asthma,65+,16,0
0,2018,adult asthma,total,129,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,145,1
0,2018,dementia,total,145,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,13,0
0,2018,diabetes,18-64,221,1
0,2018,diabetes,65+,93,1
0,2018,diabetes,total,334,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,2,0
0,2018,low birth weight,18-64,141,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,143,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,11,0
0,2018,lung cancer,65+,30,0
0,2018,lung cancer,total,41,0
0,2018,total,total,1011,3
0,2019,childhood asthma,0-5,122,1
0,2019,childhood asthma,06-17,95,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,217,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,112,1
0,2019,adult asthma,65+,16,0
0,2019,adult asthma,total,128,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,140,1
0,2019,dementia,total,140,1
0,2019,diabetes,0-5,8,0
0,2019,diabetes,06-17,13,0
0,2019,diabetes,18-64,220,1
0,2019,diabetes,65+,91,1
0,2019,diabetes,total,332,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,2,0
0,2019,low birth weight,18-64,139,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,141,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,11,0
0,2019,lung cancer,65+,29,0
0,2019,lung cancer,total,40,0
0,2019,total,total,998,3
0,2020,childhood asthma,0-5,123,1
0,2020,childhood asthma,06-17,93,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,216,1
