Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,84,1
0,2016,childhood asthma,06-17,106,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,190,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,50,1
0,2016,chronic obstructive pulmonary disease,65+,30,0
0,2016,chronic obstructive pulmonary disease,total,80,1
0,2016,diabetes,0-5,6,0
0,2016,diabetes,06-17,12,0
0,2016,diabetes,18-64,277,1
0,2016,diabetes,65+,180,1
0,2016,diabetes,total,475,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,102,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,103,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,36,0
0,2016,coronary heart disease,65+,110,1
0,2016,coronary heart disease,total,146,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,16,0
0,2016,lung cancer,65+,57,1
0,2016,lung cancer,total,73,1
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,1,0
0,2016,stroke,18-64,26,0
0,2016,stroke,65+,103,1
0,2016,stroke,total,131,1
0,2016,total,total,1198,3
0,2017,childhood asthma,0-5,86,1
0,2017,childhood asthma,06-17,106,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,192,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,50,1
0,2017,chronic obstructive pulmonary disease,65+,29,0
0,2017,chronic obstructive pulmonary disease,total,79,1
0,2017,diabetes,0-5,6,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,276,1
0,2017,diabetes,65+,178,1
0,2017,diabetes,total,472,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,99,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,100,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,37,0
0,2017,coronary heart disease,65+,107,1
0,2017,coronary heart disease,total,144,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,16,0
0,2017,lung cancer,65+,57,1
0,2017,lung cancer,total,73,1
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,1,0
0,2017,stroke,18-64,26,0
0,2017,stroke,65+,101,1
0,2017,stroke,total,129,1
0,2017,total,total,1189,3
0,2018,childhood asthma,0-5,87,1
0,2018,childhood asthma,06-17,104,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,191,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,50,1
0,2018,chronic obstructive pulmonary disease,65+,28,0
0,2018,chronic obstructive pulmonary disease,total,78,1
0,2018,diabetes,0-5,6,0
0,2018,diabetes,06-17,12,0
0,2018,diabetes,18-64,276,1
0,2018,diabetes,65+,175,1
0,2018,diabetes,total,469,1
0,2018,low birth weight,0-5,0,0
