Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,104,1
0,2016,childhood asthma,06-17,93,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,197,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,120,1
0,2016,adult asthma,65+,32,0
0,2016,adult asthma,total,152,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,315,1
0,2016,dementia,total,315,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,13,0
0,2016,diabetes,18-64,258,1
0,2016,diabetes,65+,185,1
0,2016,diabetes,total,463,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,111,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,112,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,15,0
0,2016,lung cancer,65+,61,1
0,2016,lung cancer,total,76,1
0,2016,total,total,1315,3
0,2017,childhood asthma,0-5,105,1
0,2017,childhood asthma,06-17,93,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,198,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,120,1
0,2017,adult asthma,65+,31,0
0,2017,adult asthma,total,151,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,306,1
0,2017,dementia,total,306,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,13,0
0,2017,diabetes,18-64,256,1
0,2017,diabetes,65+,182,1
0,2017,diabetes,total,458,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,110,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,111,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,15,0
0,2017,lung cancer,65+,60,1
0,2017,lung cancer,total,75,1
0,2017,total,total,1299,3
0,2018,childhood asthma,0-5,105,1
0,2018,childhood asthma,06-17,93,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,198,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,119,1
0,2018,adult asthma,65+,31,0
0,2018,adult asthma,total,150,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
