Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,169,1
0,2016,childhood asthma,06-17,121,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,290,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,141,1
0,2016,adult asthma,65+,26,0
0,2016,adult asthma,total,167,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,221,1
0,2016,dementia,total,221,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,15,0
0,2016,diabetes,18-64,272,1
0,2016,diabetes,65+,147,1
0,2016,diabetes,total,442,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,92,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,93,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,13,0
0,2016,lung cancer,65+,46,1
0,2016,lung cancer,total,59,1
0,2016,total,total,1272,3
0,2017,childhood asthma,0-5,166,1
0,2017,childhood asthma,06-17,121,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,287,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,140,1
0,2017,adult asthma,65+,26,0
0,2017,adult asthma,total,166,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,216,1
0,2017,dementia,total,216,1
0,2017,diabetes,0-5,8,0
0,2017,diabetes,06-17,15,0
0,2017,diabetes,18-64,271,1
0,2017,diabetes,65+,146,1
0,2017,diabetes,total,440,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,92,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,93,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
