Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,117,1
0,2016,childhood asthma,06-17,199,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,316,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,57,1
0,2016,chronic obstructive pulmonary disease,65+,34,0
0,2016,chronic obstructive pulmonary disease,total,91,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,16,0
0,2016,diabetes,18-64,259,1
0,2016,diabetes,65+,141,1
0,2016,diabetes,total,424,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,98,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,99,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,44,1
0,2016,coronary heart disease,65+,107,1
0,2016,coronary heart disease,total,151,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,13,0
0,2016,lung cancer,65+,46,1
0,2016,lung cancer,total,59,1
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,24,0
0,2016,stroke,65+,83,1
0,2016,stroke,total,110,1
0,2016,total,total,1250,3
0,2017,childhood asthma,0-5,116,1
0,2017,childhood asthma,06-17,198,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,314,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,56,1
0,2017,chronic obstructive pulmonary disease,65+,33,0
0,2017,chronic obstructive pulmonary disease,total,89,1
0,2017,diabetes,0-5,8,0
0,2017,diabetes,06-17,15,0
0,2017,diabetes,18-64,257,1
0,2017,diabetes,65+,141,1
0,2017,diabetes,total,421,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,98,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,99,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,45,1
0,2017,coronary heart disease,65+,106,1
0,2017,coronary heart disease,total,151,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,13,0
0,2017,lung cancer,65+,45,1
0,2017,lung cancer,total,58,1
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,24,0
0,2017,stroke,65+,83,1
0,2017,stroke,total,110,1
0,2017,total,total,1242,3
0,2018,childhood asthma,0-5,115,1
0,2018,childhood asthma,06-17,199,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,314,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,57,1
0,2018,chronic obstructive pulmonary disease,65+,32,0
