Boroughs,PM25 Concentration (ug/m3)
Barking and Dagenham,10.3
Barnet,10.6
Brent,10.7
Bexley,10.2
Bromley,10.2
Camden,11.3
City of Westminster,11.9
Croydon,10.4
Ealing,10.7
Enfield,10.5
Greenwich,10.5
Hackney,11.5
Hammersmith and Fulham,11.6
Haringey,10.9
Harrow,10.2
Havering,9.9
Hillingdon,10
Hounslow,10.4
Islington,11.3
Kensington and Chelsea,11.8
Kingston upon Thames,10.6
Lambeth,11.9
Lewisham,10.6
Merton,10.6
Newham,11.2
Redbridge,10.7
Richmond upon Thames,10.3
Southwark,11.3
Sutton,10.1
Tower Hamlets,12
Waltham Forest,10.6
Wandsworth,10.7
