Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,134,1
0,2016,childhood asthma,06-17,241,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,375,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,89,1
0,2016,chronic obstructive pulmonary disease,65+,52,1
0,2016,chronic obstructive pulmonary disease,total,141,1
0,2016,diabetes,0-5,10,0
0,2016,diabetes,06-17,19,0
0,2016,diabetes,18-64,400,2
0,2016,diabetes,65+,183,1
0,2016,diabetes,total,612,2
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,0,0
0,2016,low birth weight,18-64,175,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,175,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,76,1
0,2016,coronary heart disease,65+,137,1
0,2016,coronary heart disease,total,213,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,20,0
0,2016,lung cancer,65+,59,1
0,2016,lung cancer,total,79,1
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,39,1
0,2016,stroke,65+,103,1
0,2016,stroke,total,145,1
0,2016,total,total,1740,4
0,2017,childhood asthma,0-5,140,1
0,2017,childhood asthma,06-17,238,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,378,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,89,1
0,2017,chronic obstructive pulmonary disease,65+,49,1
0,2017,chronic obstructive pulmonary disease,total,138,1
0,2017,diabetes,0-5,10,0
0,2017,diabetes,06-17,18,0
0,2017,diabetes,18-64,397,2
0,2017,diabetes,65+,181,1
0,2017,diabetes,total,606,2
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,0,0
0,2017,low birth weight,18-64,171,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,171,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,75,1
0,2017,coronary heart disease,65+,131,1
0,2017,coronary heart disease,total,206,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,19,0
0,2017,lung cancer,65+,58,1
0,2017,lung cancer,total,77,1
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,39,1
0,2017,stroke,65+,100,1
0,2017,stroke,total,142,1
0,2017,total,total,1718,4
0,2018,childhood asthma,0-5,141,1
0,2018,childhood asthma,06-17,232,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,373,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
