Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,107,1
0,2016,childhood asthma,06-17,89,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,196,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,114,1
0,2016,adult asthma,65+,25,0
0,2016,adult asthma,total,139,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,228,1
0,2016,dementia,total,228,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,12,0
0,2016,diabetes,18-64,245,1
0,2016,diabetes,65+,141,1
0,2016,diabetes,total,405,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,116,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,117,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,14,0
0,2016,lung cancer,65+,47,0
0,2016,lung cancer,total,61,0
0,2016,total,total,1146,3
0,2017,childhood asthma,0-5,107,1
0,2017,childhood asthma,06-17,89,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,196,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,115,1
0,2017,adult asthma,65+,24,0
0,2017,adult asthma,total,139,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,224,1
0,2017,dementia,total,224,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,245,1
0,2017,diabetes,65+,140,1
0,2017,diabetes,total,404,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,114,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,115,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,14,0
0,2017,lung cancer,65+,46,0
0,2017,lung cancer,total,60,0
0,2017,total,total,1138,3
