Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,123,1
0,2016,childhood asthma,06-17,92,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,215,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,122,1
0,2016,adult asthma,65+,20,0
0,2016,adult asthma,total,142,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,174,1
0,2016,dementia,total,174,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,12,0
0,2016,diabetes,18-64,238,1
0,2016,diabetes,65+,113,1
0,2016,diabetes,total,370,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,2,0
0,2016,low birth weight,18-64,125,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,127,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,12,0
0,2016,lung cancer,65+,36,0
0,2016,lung cancer,total,48,0
0,2016,total,total,1076,3
0,2017,childhood asthma,0-5,123,1
0,2017,childhood asthma,06-17,92,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,215,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,122,1
0,2017,adult asthma,65+,20,0
0,2017,adult asthma,total,142,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,169,1
0,2017,dementia,total,169,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,240,1
0,2017,diabetes,65+,113,1
0,2017,diabetes,total,372,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,2,0
0,2017,low birth weight,18-64,124,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,126,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,12,0
0,2017,lung cancer,65+,35,0
0,2017,lung cancer,total,47,0
0,2017,total,total,1071,3
0,2018,childhood asthma,0-5,123,1
0,2018,childhood asthma,06-17,92,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,215,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,121,1
0,2018,adult asthma,65+,19,0
0,2018,adult asthma,total,140,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,166,1
0,2018,dementia,total,166,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,12,0
0,2018,diabetes,18-64,241,1
0,2018,diabetes,65+,111,1
0,2018,diabetes,total,371,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,2,0
0,2018,low birth weight,18-64,121,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,123,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,12,0
0,2018,lung cancer,65+,35,0
0,2018,lung cancer,total,47,0
0,2018,total,total,1062,3
0,2019,childhood asthma,0-5,123,1
0,2019,childhood asthma,06-17,91,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,214,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,121,1
0,2019,adult asthma,65+,19,0
0,2019,adult asthma,total,140,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,164,1
0,2019,dementia,total,164,1
0,2019,diabetes,0-5,7,0
0,2019,diabetes,06-17,12,0
0,2019,diabetes,18-64,243,1
0,2019,diabetes,65+,111,1
0,2019,diabetes,total,373,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,2,0
0,2019,low birth weight,18-64,119,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,121,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,13,0
0,2019,lung cancer,65+,36,0
0,2019,lung cancer,total,49,0
0,2019,total,total,1061,3
0,2020,childhood asthma,0-5,121,1
0,2020,childhood asthma,06-17,90,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,211,1
0,2020,adult asthma,0-5,0,0
0,2020,adult asthma,06-17,0,0
0,2020,adult asthma,18-64,122,1
0,2020,adult asthma,65+,19,0
0,2020,adult asthma,total,141,1
0,2020,dementia,0-5,0,0
0,2020,dementia,06-17,0,0
0,2020,dementia,18-64,0,0
0,2020,dementia,65+,162,1
0,2020,dementia,total,162,1
0,2020,diabetes,0-5,7,0
0,2020,diabetes,06-17,12,0
0,2020,diabetes,18-64,245,1
0,2020,diabetes,65+,111,1
0,2020,diabetes,total,375,1
0,2020,low birth weight,0-5,0,0
