Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,141,1
0,2016,childhood asthma,06-17,224,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,365,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,49,1
0,2016,chronic obstructive pulmonary disease,65+,21,0
0,2016,chronic obstructive pulmonary disease,total,70,1
0,2016,diabetes,0-5,10,0
0,2016,diabetes,06-17,18,0
0,2016,diabetes,18-64,248,1
0,2016,diabetes,65+,81,1
0,2016,diabetes,total,357,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,2,0
0,2016,low birth weight,18-64,167,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,169,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,42,1
0,2016,coronary heart disease,65+,59,1
0,2016,coronary heart disease,total,101,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,10,0
0,2016,lung cancer,65+,26,0
0,2016,lung cancer,total,36,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,22,0
0,2016,stroke,65+,47,1
0,2016,stroke,total,72,1
0,2016,total,total,1170,3
0,2017,childhood asthma,0-5,144,1
0,2017,childhood asthma,06-17,223,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,367,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,49,1
0,2017,chronic obstructive pulmonary disease,65+,20,0
0,2017,chronic obstructive pulmonary disease,total,69,1
0,2017,diabetes,0-5,10,0
0,2017,diabetes,06-17,18,0
0,2017,diabetes,18-64,247,1
0,2017,diabetes,65+,81,1
0,2017,diabetes,total,356,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,2,0
0,2017,low birth weight,18-64,165,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,167,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,42,1
0,2017,coronary heart disease,65+,57,1
0,2017,coronary heart disease,total,99,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,11,0
0,2017,lung cancer,65+,26,0
0,2017,lung cancer,total,37,0
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,22,0
0,2017,stroke,65+,46,1
0,2017,stroke,total,71,1
0,2017,total,total,1166,3
0,2018,childhood asthma,0-5,143,1
0,2018,childhood asthma,06-17,221,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,364,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,50,1
0,2018,chronic obstructive pulmonary disease,65+,20,0
0,2018,chronic obstructive pulmonary disease,total,70,1
0,2018,diabetes,0-5,10,0
0,2018,diabetes,06-17,17,0
0,2018,diabetes,18-64,248,1
0,2018,diabetes,65+,81,1
0,2018,diabetes,total,356,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,2,0
0,2018,low birth weight,18-64,162,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,164,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,43,1
0,2018,coronary heart disease,65+,57,1
0,2018,coronary heart disease,total,100,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,10,0
0,2018,lung cancer,65+,25,0
0,2018,lung cancer,total,35,0
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,2,0
0,2018,stroke,18-64,22,0
0,2018,stroke,65+,45,1
0,2018,stroke,total,70,1
0,2018,total,total,1159,3
0,2019,childhood asthma,0-5,144,1
0,2019,childhood asthma,06-17,218,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,362,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,51,1
0,2019,chronic obstructive pulmonary disease,65+,20,0
0,2019,chronic obstructive pulmonary disease,total,71,1
0,2019,diabetes,0-5,11,0
0,2019,diabetes,06-17,17,0
0,2019,diabetes,18-64,248,1
0,2019,diabetes,65+,80,1
0,2019,diabetes,total,356,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,2,0
0,2019,low birth weight,18-64,158,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,160,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,43,1
0,2019,coronary heart disease,65+,55,1
0,2019,coronary heart disease,total,98,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,11,0
0,2019,lung cancer,65+,25,0
0,2019,lung cancer,total,36,0
0,2019,stroke,0-5,1,0
0,2019,stroke,06-17,2,0
0,2019,stroke,18-64,22,0
0,2019,stroke,65+,45,1
0,2019,stroke,total,70,1
0,2019,total,total,1153,3
0,2020,childhood asthma,0-5,144,1
0,2020,childhood asthma,06-17,214,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,358,1
0,2020,chronic obstructive pulmonary disease,0-5,0,0
0,2020,chronic obstructive pulmonary disease,06-17,0,0
0,2020,chronic obstructive pulmonary disease,18-64,51,1
0,2020,chronic obstructive pulmonary disease,65+,20,0
0,2020,chronic obstructive pulmonary disease,total,71,1
0,2020,diabetes,0-5,10,0
0,2020,diabetes,06-17,17,0
0,2020,diabetes,18-64,247,1
0,2020,diabetes,65+,80,1
0,2020,diabetes,total,354,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,2,0
0,2020,low birth weight,18-64,156,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,158,1
0,2020,coronary heart disease,0-5,0,0
0,2020,coronary heart disease,06-17,0,0
0,2020,coronary heart disease,18-64,43,0
0,2020,coronary heart disease,65+,56,1
0,2020,coronary heart disease,total,99,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,11,0
0,2020,lung cancer,65+,25,0
0,2020,lung cancer,total,36,0
0,2020,stroke,0-5,1,0
0,2020,stroke,06-17,2,0
0,2020,stroke,18-64,22,0
0,2020,stroke,65+,44,1
0,2020,stroke,total,69,1
0,2020,total,total,1145,3
0,2021,childhood asthma,0-5,144,1
0,2021,childhood asthma,06-17,213,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,357,1
0,2021,chronic obstructive pulmonary disease,0-5,0,0
0,2021,chronic obstructive pulmonary disease,06-17,0,0
0,2021,chronic obstructive pulmonary disease,18-64,52,1
0,2021,chronic obstructive pulmonary disease,65+,20,0
0,2021,chronic obstructive pulmonary disease,total,72,1
0,2021,diabetes,0-5,10,0
0,2021,diabetes,06-17,17,0
0,2021,diabetes,18-64,249,1
0,2021,diabetes,65+,81,1
0,2021,diabetes,total,357,1
0,2021,low birth weight,0-5,0,0
0,2021,low birth weight,06-17,2,0
0,2021,low birth weight,18-64,152,1
0,2021,low birth weight,65+,0,0
0,2021,low birth weight,total,154,1
0,2021,coronary heart disease,0-5,0,0
0,2021,coronary heart disease,06-17,0,0
0,2021,coronary heart disease,18-64,43,0
0,2021,coronary heart disease,65+,55,1
0,2021,coronary heart disease,total,98,1
0,2021,lung cancer,0-5,0,0
0,2021,lung cancer,06-17,0,0
0,2021,lung cancer,18-64,11,0
0,2021,lung cancer,65+,25,0
0,2021,lung cancer,total,36,0
0,2021,stroke,0-5,1,0
0,2021,stroke,06-17,2,0
0,2021,stroke,18-64,22,0
0,2021,stroke,65+,44,1
0,2021,stroke,total,69,1
0,2021,total,total,1143,3
0,2022,childhood asthma,0-5,144,1
0,2022,childhood asthma,06-17,209,1
0,2022,childhood asthma,18-64,0,0
0,2022,childhood asthma,65+,0,0
0,2022,childhood asthma,total,353,1
0,2022,chronic obstructive pulmonary disease,0-5,0,0
0,2022,chronic obstructive pulmonary disease,06-17,0,0
0,2022,chronic obstructive pulmonary disease,18-64,52,1
0,2022,chronic obstructive pulmonary disease,65+,20,0
0,2022,chronic obstructive pulmonary disease,total,72,1
0,2022,diabetes,0-5,10,0
0,2022,diabetes,06-17,17,0
0,2022,diabetes,18-64,249,1
0,2022,diabetes,65+,82,1
0,2022,diabetes,total,358,1
0,2022,low birth weight,0-5,0,0
0,2022,low birth weight,06-17,2,0
0,2022,low birth weight,18-64,149,1
0,2022,low birth weight,65+,0,0
0,2022,low birth weight,total,151,1
0,2022,coronary heart disease,0-5,0,0
0,2022,coronary heart disease,06-17,0,0
0,2022,coronary heart disease,18-64,43,0
0,2022,coronary heart disease,65+,56,1
0,2022,coronary heart disease,total,99,1
0,2022,lung cancer,0-5,0,0
0,2022,lung cancer,06-17,0,0
0,2022,lung cancer,18-64,11,0
0,2022,lung cancer,65+,25,0
0,2022,lung cancer,total,36,0
0,2022,stroke,0-5,1,0
0,2022,stroke,06-17,2,0
0,2022,stroke,18-64,22,0
0,2022,stroke,65+,45,1
0,2022,stroke,total,70,1
0,2022,total,total,1139,3
0,2023,childhood asthma,0-5,139,1
0,2023,childhood asthma,06-17,211,1
0,2023,childhood asthma,18-64,0,0
0,2023,childhood asthma,65+,0,0
0,2023,childhood asthma,total,350,1
0,2023,chronic obstructive pulmonary disease,0-5,0,0
0,2023,chronic obstructive pulmonary disease,06-17,0,0
0,2023,chronic obstructive pulmonary disease,18-64,52,1
0,2023,chronic obstructive pulmonary disease,65+,21,0
0,2023,chronic obstructive pulmonary disease,total,73,1
0,2023,diabetes,0-5,10,0
0,2023,diabetes,06-17,16,0
0,2023,diabetes,18-64,250,1
0,2023,diabetes,65+,83,1
0,2023,diabetes,total,359,1
0,2023,low birth weight,0-5,0,0
0,2023,low birth weight,06-17,2,0
0,2023,low birth weight,18-64,148,1
0,2023,low birth weight,65+,0,0
0,2023,low birth weight,total,150,1
0,2023,coronary heart disease,0-5,0,0
0,2023,coronary heart disease,06-17,0,0
0,2023,coronary heart disease,18-64,44,0
0,2023,coronary heart disease,65+,56,1
0,2023,coronary heart disease,total,100,1
0,2023,lung cancer,0-5,0,0
0,2023,lung cancer,06-17,0,0
0,2023,lung cancer,18-64,11,0
0,2023,lung cancer,65+,26,0
0,2023,lung cancer,total,37,0
0,2023,stroke,0-5,1,0
0,2023,stroke,06-17,2,0
0,2023,stroke,18-64,22,0
0,2023,stroke,65+,45,0
0,2023,stroke,total,70,0
0,2023,total,total,1139,3
0,2024,childhood asthma,0-5,132,1
0,2024,childhood asthma,06-17,214,1
0,2024,childhood asthma,18-64,0,0
0,2024,childhood asthma,65+,0,0
0,2024,childhood asthma,total,346,1
0,2024,chronic obstructive pulmonary disease,0-5,0,0
0,2024,chronic obstructive pulmonary disease,06-17,0,0
0,2024,chronic obstructive pulmonary disease,18-64,53,1
0,2024,chronic obstructive pulmonary disease,65+,21,0
0,2024,chronic obstructive pulmonary disease,total,74,1
0,2024,diabetes,0-5,10,0
0,2024,diabetes,06-17,17,0
0,2024,diabetes,18-64,250,1
0,2024,diabetes,65+,83,1
0,2024,diabetes,total,360,1
0,2024,low birth weight,0-5,0,0
0,2024,low birth weight,06-17,1,0
0,2024,low birth weight,18-64,144,1
0,2024,low birth weight,65+,0,0
0,2024,low birth weight,total,145,1
0,2024,coronary heart disease,0-5,0,0
0,2024,coronary heart disease,06-17,0,0
0,2024,coronary heart disease,18-64,44,0
0,2024,coronary heart disease,65+,56,1
0,2024,coronary heart disease,total,100,1
0,2024,lung cancer,0-5,0,0
0,2024,lung cancer,06-17,0,0
0,2024,lung cancer,18-64,11,0
0,2024,lung cancer,65+,25,0
0,2024,lung cancer,total,36,0
0,2024,stroke,0-5,1,0
0,2024,stroke,06-17,2,0
0,2024,stroke,18-64,22,0
0,2024,stroke,65+,45,0
0,2024,stroke,total,70,0
0,2024,total,total,1131,3
0,2025,childhood asthma,0-5,125,1
0,2025,childhood asthma,06-17,213,1
0,2025,childhood asthma,18-64,0,0
0,2025,childhood asthma,65+,0,0
0,2025,childhood asthma,total,338,1
0,2025,chronic obstructive pulmonary disease,0-5,0,0
0,2025,chronic obstructive pulmonary disease,06-17,0,0
0,2025,chronic obstructive pulmonary disease,18-64,53,1
0,2025,chronic obstructive pulmonary disease,65+,22,0
0,2025,chronic obstructive pulmonary disease,total,75,1
0,2025,diabetes,0-5,9,0
0,2025,diabetes,06-17,17,0
0,2025,diabetes,18-64,251,1
0,2025,diabetes,65+,84,1
0,2025,diabetes,total,361,1
0,2025,low birth weight,0-5,0,0
0,2025,low birth weight,06-17,2,0
0,2025,low birth weight,18-64,141,1
0,2025,low birth weight,65+,0,0
0,2025,low birth weight,total,143,1
0,2025,coronary heart disease,0-5,0,0
0,2025,coronary heart disease,06-17,0,0
0,2025,coronary heart disease,18-64,44,0
0,2025,coronary heart disease,65+,57,1
0,2025,coronary heart disease,total,101,1
0,2025,lung cancer,0-5,0,0
0,2025,lung cancer,06-17,0,0
0,2025,lung cancer,18-64,12,0
0,2025,lung cancer,65+,26,0
0,2025,lung cancer,total,38,0
0,2025,stroke,0-5,1,0
0,2025,stroke,06-17,2,0
0,2025,stroke,18-64,23,0
0,2025,stroke,65+,46,0
0,2025,stroke,total,72,0
0,2025,total,total,1128,3
0,2026,childhood asthma,0-5,116,1
0,2026,childhood asthma,06-17,214,1
0,2026,childhood asthma,18-64,0,0
0,2026,childhood asthma,65+,0,0
0,2026,childhood asthma,total,330,1
0,2026,chronic obstructive pulmonary disease,0-5,0,0
0,2026,chronic obstructive pulmonary disease,06-17,0,0
0,2026,chronic obstructive pulmonary disease,18-64,53,1
0,2026,chronic obstructive pulmonary disease,65+,22,0
0,2026,chronic obstructive pulmonary disease,total,75,1
0,2026,diabetes,0-5,8,0
0,2026,diabetes,06-17,17,0
0,2026,diabetes,18-64,251,1
0,2026,diabetes,65+,86,1
0,2026,diabetes,total,362,1
0,2026,low birth weight,0-5,0,0
0,2026,low birth weight,06-17,1,0
0,2026,low birth weight,18-64,140,1
0,2026,low birth weight,65+,0,0
