Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,143,1
0,2016,childhood asthma,06-17,108,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,251,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,132,1
0,2016,adult asthma,65+,18,0
0,2016,adult asthma,total,150,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,151,1
0,2016,dementia,total,151,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,14,0
0,2016,diabetes,18-64,249,1
0,2016,diabetes,65+,103,1
0,2016,diabetes,total,374,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,120,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,121,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,12,0
0,2016,lung cancer,65+,32,0
0,2016,lung cancer,total,44,0
0,2016,total,total,1091,3
0,2017,childhood asthma,0-5,145,1
0,2017,childhood asthma,06-17,107,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,252,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,132,1
0,2017,adult asthma,65+,18,0
0,2017,adult asthma,total,150,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,149,1
0,2017,dementia,total,149,1
0,2017,diabetes,0-5,8,0
0,2017,diabetes,06-17,14,0
0,2017,diabetes,18-64,250,1
0,2017,diabetes,65+,103,1
0,2017,diabetes,total,375,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,118,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,119,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,12,0
0,2017,lung cancer,65+,32,0
0,2017,lung cancer,total,44,0
0,2017,total,total,1089,3
0,2018,childhood asthma,0-5,144,1
0,2018,childhood asthma,06-17,106,1
0,2018,childhood asthma,18-64,0,0
