Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,108,1
0,2016,childhood asthma,06-17,90,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,198,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,112,1
0,2016,adult asthma,65+,28,0
0,2016,adult asthma,total,140,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,272,1
0,2016,dementia,total,272,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,13,0
0,2016,diabetes,18-64,240,1
0,2016,diabetes,65+,163,1
0,2016,diabetes,total,423,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,105,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,106,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,14,0
0,2016,lung cancer,65+,55,1
0,2016,lung cancer,total,69,1
0,2016,total,total,1208,3
0,2017,childhood asthma,0-5,109,1
0,2017,childhood asthma,06-17,90,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,199,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,112,1
0,2017,adult asthma,65+,28,0
0,2017,adult asthma,total,140,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,265,1
0,2017,dementia,total,265,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,240,1
0,2017,diabetes,65+,162,1
0,2017,diabetes,total,421,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,104,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,105,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,14,0
0,2017,lung cancer,65+,54,1
0,2017,lung cancer,total,68,1
0,2017,total,total,1198,3
0,2018,childhood asthma,0-5,109,1
0,2018,childhood asthma,06-17,90,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,199,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,111,1
0,2018,adult asthma,65+,28,0
0,2018,adult asthma,total,139,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,262,1
0,2018,dementia,total,262,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,12,0
0,2018,diabetes,18-64,239,1
0,2018,diabetes,65+,162,1
0,2018,diabetes,total,420,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,102,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,103,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,15,0
0,2018,lung cancer,65+,54,1
0,2018,lung cancer,total,69,1
0,2018,total,total,1192,3
0,2019,childhood asthma,0-5,108,1
0,2019,childhood asthma,06-17,90,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,198,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,111,1
0,2019,adult asthma,65+,28,0
0,2019,adult asthma,total,139,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,260,1
0,2019,dementia,total,260,1
0,2019,diabetes,0-5,7,0
0,2019,diabetes,06-17,13,0
0,2019,diabetes,18-64,240,1
0,2019,diabetes,65+,161,1
0,2019,diabetes,total,421,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,101,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,102,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,14,0
0,2019,lung cancer,65+,54,1
0,2019,lung cancer,total,68,1
0,2019,total,total,1188,3
0,2020,childhood asthma,0-5,109,1
0,2020,childhood asthma,06-17,89,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,198,1
0,2020,adult asthma,0-5,0,0
0,2020,adult asthma,06-17,0,0
0,2020,adult asthma,18-64,110,1
0,2020,adult asthma,65+,27,0
0,2020,adult asthma,total,137,1
0,2020,dementia,0-5,0,0
0,2020,dementia,06-17,0,0
0,2020,dementia,18-64,0,0
0,2020,dementia,65+,258,1
0,2020,dementia,total,258,1
0,2020,diabetes,0-5,7,0
0,2020,diabetes,06-17,12,0
0,2020,diabetes,18-64,237,1
0,2020,diabetes,65+,162,1
0,2020,diabetes,total,418,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,1,0
0,2020,low birth weight,18-64,100,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,101,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,14,0
0,2020,lung cancer,65+,54,1
0,2020,lung cancer,total,68,1
0,2020,total,total,1180,3
0,2021,childhood asthma,0-5,108,1
0,2021,childhood asthma,06-17,89,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,197,1
0,2021,adult asthma,0-5,0,0
0,2021,adult asthma,06-17,0,0
0,2021,adult asthma,18-64,109,1
0,2021,adult asthma,65+,28,0
0,2021,adult asthma,total,137,1
0,2021,dementia,0-5,0,0
0,2021,dementia,06-17,0,0
0,2021,dementia,18-64,0,0
0,2021,dementia,65+,256,1
0,2021,dementia,total,256,1
0,2021,diabetes,0-5,7,0
0,2021,diabetes,06-17,12,0
0,2021,diabetes,18-64,237,1
0,2021,diabetes,65+,162,1
0,2021,diabetes,total,418,1
0,2021,low birth weight,0-5,0,0
0,2021,low birth weight,06-17,1,0
0,2021,low birth weight,18-64,98,1
0,2021,low birth weight,65+,0,0
0,2021,low birth weight,total,99,1
0,2021,lung cancer,0-5,0,0
0,2021,lung cancer,06-17,0,0
0,2021,lung cancer,18-64,14,0
0,2021,lung cancer,65+,54,1
0,2021,lung cancer,total,68,1
0,2021,total,total,1175,3
0,2022,childhood asthma,0-5,107,1
0,2022,childhood asthma,06-17,89,1
0,2022,childhood asthma,18-64,0,0
0,2022,childhood asthma,65+,0,0
0,2022,childhood asthma,total,196,1
0,2022,adult asthma,0-5,0,0
0,2022,adult asthma,06-17,0,0
0,2022,adult asthma,18-64,109,1
0,2022,adult asthma,65+,28,0
0,2022,adult asthma,total,137,1
0,2022,dementia,0-5,0,0
0,2022,dementia,06-17,0,0
0,2022,dementia,18-64,0,0
0,2022,dementia,65+,255,1
0,2022,dementia,total,255,1
0,2022,diabetes,0-5,7,0
0,2022,diabetes,06-17,12,0
0,2022,diabetes,18-64,235,1
0,2022,diabetes,65+,162,1
0,2022,diabetes,total,416,1
0,2022,low birth weight,0-5,0,0
0,2022,low birth weight,06-17,1,0
0,2022,low birth weight,18-64,97,1
0,2022,low birth weight,65+,0,0
0,2022,low birth weight,total,98,1
0,2022,lung cancer,0-5,0,0
0,2022,lung cancer,06-17,0,0
0,2022,lung cancer,18-64,14,0
0,2022,lung cancer,65+,54,1
0,2022,lung cancer,total,68,1
0,2022,total,total,1170,3
0,2023,childhood asthma,0-5,106,1
0,2023,childhood asthma,06-17,90,1
0,2023,childhood asthma,18-64,0,0
0,2023,childhood asthma,65+,0,0
0,2023,childhood asthma,total,196,1
0,2023,adult asthma,0-5,0,0
0,2023,adult asthma,06-17,0,0
0,2023,adult asthma,18-64,108,1
0,2023,adult asthma,65+,28,0
0,2023,adult asthma,total,136,1
