Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,94,1
0,2016,childhood asthma,06-17,77,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,171,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,110,1
0,2016,adult asthma,65+,24,0
0,2016,adult asthma,total,134,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,230,1
0,2016,dementia,total,230,1
0,2016,diabetes,0-5,6,0
0,2016,diabetes,06-17,11,0
0,2016,diabetes,18-64,229,1
0,2016,diabetes,65+,140,1
0,2016,diabetes,total,386,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,107,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,108,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,13,0
0,2016,lung cancer,65+,47,0
0,2016,lung cancer,total,60,0
0,2016,total,total,1089,3
0,2017,childhood asthma,0-5,93,1
0,2017,childhood asthma,06-17,76,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,169,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,110,1
0,2017,adult asthma,65+,24,0
0,2017,adult asthma,total,134,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,226,1
0,2017,dementia,total,226,1
0,2017,diabetes,0-5,6,0
0,2017,diabetes,06-17,11,0
0,2017,diabetes,18-64,230,1
0,2017,diabetes,65+,138,1
0,2017,diabetes,total,385,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,105,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,106,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,13,0
0,2017,lung cancer,65+,46,0
0,2017,lung cancer,total,59,0
0,2017,total,total,1079,3
0,2018,childhood asthma,0-5,93,1
0,2018,childhood asthma,06-17,76,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,169,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,110,1
0,2018,adult asthma,65+,23,0
0,2018,adult asthma,total,133,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,222,1
0,2018,dementia,total,222,1
0,2018,diabetes,0-5,6,0
0,2018,diabetes,06-17,10,0
0,2018,diabetes,18-64,229,1
0,2018,diabetes,65+,138,1
0,2018,diabetes,total,383,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,105,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,106,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,13,0
0,2018,lung cancer,65+,45,0
0,2018,lung cancer,total,58,0
0,2018,total,total,1071,3
0,2019,childhood asthma,0-5,93,1
0,2019,childhood asthma,06-17,77,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,170,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,109,1
0,2019,adult asthma,65+,23,0
0,2019,adult asthma,total,132,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,219,1
0,2019,dementia,total,219,1
