Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,83,1
0,2016,childhood asthma,06-17,97,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,180,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,41,0
0,2016,chronic obstructive pulmonary disease,65+,24,0
0,2016,chronic obstructive pulmonary disease,total,65,0
0,2016,diabetes,0-5,6,0
0,2016,diabetes,06-17,11,0
0,2016,diabetes,18-64,233,1
0,2016,diabetes,65+,142,1
0,2016,diabetes,total,392,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,95,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,96,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,33,0
0,2016,coronary heart disease,65+,87,1
0,2016,coronary heart disease,total,120,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,13,0
0,2016,lung cancer,65+,46,0
0,2016,lung cancer,total,59,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,1,0
0,2016,stroke,18-64,22,0
0,2016,stroke,65+,81,1
0,2016,stroke,total,105,1
0,2016,total,total,1017,3
0,2017,childhood asthma,0-5,83,1
0,2017,childhood asthma,06-17,97,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,180,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,41,0
0,2017,chronic obstructive pulmonary disease,65+,24,0
0,2017,chronic obstructive pulmonary disease,total,65,0
0,2017,diabetes,0-5,6,0
0,2017,diabetes,06-17,11,0
0,2017,diabetes,18-64,233,1
0,2017,diabetes,65+,140,1
0,2017,diabetes,total,390,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,94,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,95,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,33,0
0,2017,coronary heart disease,65+,85,1
0,2017,coronary heart disease,total,118,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,13,0
0,2017,lung cancer,65+,45,0
0,2017,lung cancer,total,58,0
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,1,0
0,2017,stroke,18-64,22,0
0,2017,stroke,65+,80,1
0,2017,stroke,total,104,1
0,2017,total,total,1010,3
0,2018,childhood asthma,0-5,82,1
0,2018,childhood asthma,06-17,96,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,178,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,41,0
0,2018,chronic obstructive pulmonary disease,65+,23,0
0,2018,chronic obstructive pulmonary disease,total,64,0
0,2018,diabetes,0-5,6,0
0,2018,diabetes,06-17,11,0
0,2018,diabetes,18-64,234,1
0,2018,diabetes,65+,140,1
0,2018,diabetes,total,391,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,94,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,95,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,33,0
0,2018,coronary heart disease,65+,84,1
0,2018,coronary heart disease,total,117,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,13,0
0,2018,lung cancer,65+,45,0
0,2018,lung cancer,total,58,0
