Boroughs,PM25 Concentration (ug/m3)
Barking and Dagenham,10.3
Barnet,10.4
Brent,10.4
Bromley,10.1
Camden,13
City of Westminster,12.8
Croydon,10.5
Ealing,10.7
Enfield,10.7
Greenwich,10.7
Hackney,11.7
Hammersmith and Fulham,11.1
Haringey,10.8
Harrow,9.8
Havering,9.9
Hillingdon,9.8
Hounslow,10.5
Islington,12.2
Kensington and Chelsea,11.8
Kingston upon Thames,10.5
Lambeth,11.7
Lewisham,10.9
Merton,10.4
Newham,10.9
Redbridge,10.4
Richmond upon Thames,10.4
Southwark,12.1
Sutton,10.2
Tower Hamlets,11.9
Waltham Forest,10.6
Wandsworth,10.6
