Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,140,1
0,2016,childhood asthma,06-17,96,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,236,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,153,1
0,2016,adult asthma,65+,33,0
0,2016,adult asthma,total,186,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,272,1
0,2016,dementia,total,272,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,12,0
0,2016,diabetes,18-64,326,1
0,2016,diabetes,65+,190,1
0,2016,diabetes,total,535,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,0,0
0,2016,low birth weight,18-64,101,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,101,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,16,0
0,2016,lung cancer,65+,61,1
0,2016,lung cancer,total,77,1
0,2016,total,total,1407,3
0,2017,childhood asthma,0-5,140,1
0,2017,childhood asthma,06-17,96,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,236,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,152,1
0,2017,adult asthma,65+,34,0
0,2017,adult asthma,total,186,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,270,1
0,2017,dementia,total,270,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,325,1
0,2017,diabetes,65+,191,1
0,2017,diabetes,total,535,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,0,0
0,2017,low birth weight,18-64,99,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,99,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,17,0
0,2017,lung cancer,65+,60,1
0,2017,lung cancer,total,77,1
0,2017,total,total,1403,3
0,2018,childhood asthma,0-5,140,1
0,2018,childhood asthma,06-17,96,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,236,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,151,1
0,2018,adult asthma,65+,34,0
0,2018,adult asthma,total,185,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,270,1
0,2018,dementia,total,270,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,12,0
0,2018,diabetes,18-64,327,1
0,2018,diabetes,65+,192,1
0,2018,diabetes,total,538,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,0,0
0,2018,low birth weight,18-64,97,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,97,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,17,0
0,2018,lung cancer,65+,61,1
0,2018,lung cancer,total,78,1
0,2018,total,total,1404,3
0,2019,childhood asthma,0-5,139,1
0,2019,childhood asthma,06-17,95,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,234,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,150,1
0,2019,adult asthma,65+,34,0
0,2019,adult asthma,total,184,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,272,1
0,2019,dementia,total,272,1
0,2019,diabetes,0-5,7,0
0,2019,diabetes,06-17,12,0
0,2019,diabetes,18-64,327,1
0,2019,diabetes,65+,193,1
0,2019,diabetes,total,539,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,0,0
0,2019,low birth weight,18-64,95,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,95,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,17,0
0,2019,lung cancer,65+,61,1
0,2019,lung cancer,total,78,1
0,2019,total,total,1402,3
0,2020,childhood asthma,0-5,140,1
0,2020,childhood asthma,06-17,94,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,234,1
0,2020,adult asthma,0-5,0,0
0,2020,adult asthma,06-17,0,0
0,2020,adult asthma,18-64,149,1
0,2020,adult asthma,65+,34,0
0,2020,adult asthma,total,183,1
0,2020,dementia,0-5,0,0
0,2020,dementia,06-17,0,0
0,2020,dementia,18-64,0,0
0,2020,dementia,65+,273,1
0,2020,dementia,total,273,1
0,2020,diabetes,0-5,7,0
0,2020,diabetes,06-17,12,0
0,2020,diabetes,18-64,328,1
0,2020,diabetes,65+,193,1
0,2020,diabetes,total,540,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,0,0
0,2020,low birth weight,18-64,93,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,93,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,18,0
0,2020,lung cancer,65+,62,1
0,2020,lung cancer,total,80,1
0,2020,total,total,1403,3
0,2021,childhood asthma,0-5,140,1
