Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,93,1
0,2016,childhood asthma,06-17,159,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,252,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,73,1
0,2016,chronic obstructive pulmonary disease,65+,45,1
0,2016,chronic obstructive pulmonary disease,total,118,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,12,0
0,2016,diabetes,18-64,305,1
0,2016,diabetes,65+,182,1
0,2016,diabetes,total,506,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,0,0
0,2016,low birth weight,18-64,107,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,107,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,54,1
0,2016,coronary heart disease,65+,141,1
0,2016,coronary heart disease,total,195,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,16,0
0,2016,lung cancer,65+,61,1
0,2016,lung cancer,total,77,1
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,1,0
0,2016,stroke,18-64,30,0
0,2016,stroke,65+,106,1
0,2016,stroke,total,138,1
0,2016,total,total,1393,3
0,2017,childhood asthma,0-5,94,1
0,2017,childhood asthma,06-17,158,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,252,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,73,1
0,2017,chronic obstructive pulmonary disease,65+,45,1
0,2017,chronic obstructive pulmonary disease,total,118,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,307,1
0,2017,diabetes,65+,184,1
0,2017,diabetes,total,510,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,0,0
0,2017,low birth weight,18-64,105,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,105,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,54,1
0,2017,coronary heart disease,65+,139,1
0,2017,coronary heart disease,total,193,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,17,0
0,2017,lung cancer,65+,61,1
0,2017,lung cancer,total,78,1
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,1,0
0,2017,stroke,18-64,31,0
0,2017,stroke,65+,107,1
0,2017,stroke,total,140,1
0,2017,total,total,1396,3
0,2018,childhood asthma,0-5,93,1
0,2018,childhood asthma,06-17,159,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,252,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,74,1
0,2018,chronic obstructive pulmonary disease,65+,44,0
0,2018,chronic obstructive pulmonary disease,total,118,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,12,0
0,2018,diabetes,18-64,307,1
0,2018,diabetes,65+,184,1
0,2018,diabetes,total,510,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,0,0
0,2018,low birth weight,18-64,103,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,103,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,54,1
0,2018,coronary heart disease,65+,140,1
0,2018,coronary heart disease,total,194,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,17,0
0,2018,lung cancer,65+,61,1
0,2018,lung cancer,total,78,1
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,1,0
0,2018,stroke,18-64,30,0
0,2018,stroke,65+,107,1
0,2018,stroke,total,139,1
0,2018,total,total,1394,3
0,2019,childhood asthma,0-5,93,1
0,2019,childhood asthma,06-17,158,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,251,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,75,1
0,2019,chronic obstructive pulmonary disease,65+,43,0
0,2019,chronic obstructive pulmonary disease,total,118,1
0,2019,diabetes,0-5,7,0
0,2019,diabetes,06-17,12,0
0,2019,diabetes,18-64,308,1
0,2019,diabetes,65+,185,1
0,2019,diabetes,total,512,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,0,0
0,2019,low birth weight,18-64,100,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,100,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,54,1
0,2019,coronary heart disease,65+,142,1
0,2019,coronary heart disease,total,196,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,17,0
0,2019,lung cancer,65+,62,1
0,2019,lung cancer,total,79,1
0,2019,stroke,0-5,1,0
0,2019,stroke,06-17,1,0
0,2019,stroke,18-64,30,0
0,2019,stroke,65+,108,1
0,2019,stroke,total,140,1
0,2019,total,total,1396,3
0,2020,childhood asthma,0-5,94,1
0,2020,childhood asthma,06-17,157,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,251,1
0,2020,chronic obstructive pulmonary disease,0-5,0,0
0,2020,chronic obstructive pulmonary disease,06-17,0,0
0,2020,chronic obstructive pulmonary disease,18-64,75,1
0,2020,chronic obstructive pulmonary disease,65+,43,0
0,2020,chronic obstructive pulmonary disease,total,118,1
0,2020,diabetes,0-5,7,0
0,2020,diabetes,06-17,12,0
0,2020,diabetes,18-64,308,1
0,2020,diabetes,65+,185,1
0,2020,diabetes,total,512,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,0,0
0,2020,low birth weight,18-64,98,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,98,1
0,2020,coronary heart disease,0-5,0,0
0,2020,coronary heart disease,06-17,0,0
0,2020,coronary heart disease,18-64,55,1
0,2020,coronary heart disease,65+,142,1
0,2020,coronary heart disease,total,197,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,17,0
0,2020,lung cancer,65+,62,1
0,2020,lung cancer,total,79,1
0,2020,stroke,0-5,1,0
0,2020,stroke,06-17,1,0
0,2020,stroke,18-64,31,0
0,2020,stroke,65+,110,1
0,2020,stroke,total,143,1
0,2020,total,total,1398,3
0,2021,childhood asthma,0-5,94,1
0,2021,childhood asthma,06-17,156,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,250,1
0,2021,chronic obstructive pulmonary disease,0-5,0,0
0,2021,chronic obstructive pulmonary disease,06-17,0,0
0,2021,chronic obstructive pulmonary disease,18-64,75,1
0,2021,chronic obstructive pulmonary disease,65+,42,0
0,2021,chronic obstructive pulmonary disease,total,117,1
0,2021,diabetes,0-5,7,0
0,2021,diabetes,06-17,12,0
0,2021,diabetes,18-64,309,1
0,2021,diabetes,65+,187,1
0,2021,diabetes,total,515,1
0,2021,low birth weight,0-5,0,0
0,2021,low birth weight,06-17,0,0
0,2021,low birth weight,18-64,97,1
0,2021,low birth weight,65+,0,0
0,2021,low birth weight,total,97,1
0,2021,coronary heart disease,0-5,0,0
0,2021,coronary heart disease,06-17,0,0
0,2021,coronary heart disease,18-64,55,1
0,2021,coronary heart disease,65+,143,1
0,2021,coronary heart disease,total,198,1
0,2021,lung cancer,0-5,0,0
0,2021,lung cancer,06-17,0,0
0,2021,lung cancer,18-64,17,0
0,2021,lung cancer,65+,63,1
0,2021,lung cancer,total,80,1
0,2021,stroke,0-5,1,0
0,2021,stroke,06-17,1,0
0,2021,stroke,18-64,30,0
0,2021,stroke,65+,111,1
0,2021,stroke,total,143,1
0,2021,total,total,1400,3
0,2022,childhood asthma,0-5,95,1
0,2022,childhood asthma,06-17,154,1
0,2022,childhood asthma,18-64,0,0
0,2022,childhood asthma,65+,0,0
0,2022,childhood asthma,total,249,1
0,2022,chronic obstructive pulmonary disease,0-5,0,0
0,2022,chronic obstructive pulmonary disease,06-17,0,0
0,2022,chronic obstructive pulmonary disease,18-64,75,1
0,2022,chronic obstructive pulmonary disease,65+,43,0
0,2022,chronic obstructive pulmonary disease,total,118,1
0,2022,diabetes,0-5,7,0
0,2022,diabetes,06-17,12,0
0,2022,diabetes,18-64,309,1
0,2022,diabetes,65+,189,1
0,2022,diabetes,total,517,1
0,2022,low birth weight,0-5,0,0
0,2022,low birth weight,06-17,0,0
0,2022,low birth weight,18-64,95,1
0,2022,low birth weight,65+,0,0
0,2022,low birth weight,total,95,1
0,2022,coronary heart disease,0-5,0,0
0,2022,coronary heart disease,06-17,0,0
0,2022,coronary heart disease,18-64,56,1
0,2022,coronary heart disease,65+,146,1
0,2022,coronary heart disease,total,202,1
0,2022,lung cancer,0-5,0,0
0,2022,lung cancer,06-17,0,0
0,2022,lung cancer,18-64,18,0
0,2022,lung cancer,65+,63,1
0,2022,lung cancer,total,81,1
0,2022,stroke,0-5,1,0
0,2022,stroke,06-17,1,0
0,2022,stroke,18-64,30,0
0,2022,stroke,65+,112,1
0,2022,stroke,total,144,1
0,2022,total,total,1406,3
0,2023,childhood asthma,0-5,92,1
0,2023,childhood asthma,06-17,154,1
0,2023,childhood asthma,18-64,0,0
0,2023,childhood asthma,65+,0,0
0,2023,childhood asthma,total,246,1
0,2023,chronic obstructive pulmonary disease,0-5,0,0
0,2023,chronic obstructive pulmonary disease,06-17,0,0
0,2023,chronic obstructive pulmonary disease,18-64,76,1
0,2023,chronic obstructive pulmonary disease,65+,44,0
0,2023,chronic obstructive pulmonary disease,total,120,1
0,2023,diabetes,0-5,7,0
0,2023,diabetes,06-17,12,0
0,2023,diabetes,18-64,308,1
0,2023,diabetes,65+,189,1
0,2023,diabetes,total,516,1
0,2023,low birth weight,0-5,0,0
0,2023,low birth weight,06-17,0,0
0,2023,low birth weight,18-64,94,1
0,2023,low birth weight,65+,0,0
0,2023,low birth weight,total,94,1
0,2023,coronary heart disease,0-5,0,0
0,2023,coronary heart disease,06-17,0,0
0,2023,coronary heart disease,18-64,55,1
0,2023,coronary heart disease,65+,148,1
0,2023,coronary heart disease,total,203,1
0,2023,lung cancer,0-5,0,0
0,2023,lung cancer,06-17,0,0
0,2023,lung cancer,18-64,18,0
0,2023,lung cancer,65+,64,1
0,2023,lung cancer,total,82,1
0,2023,stroke,0-5,1,0
0,2023,stroke,06-17,1,0
0,2023,stroke,18-64,31,0
0,2023,stroke,65+,114,1
0,2023,stroke,total,147,1
0,2023,total,total,1408,3
0,2024,childhood asthma,0-5,90,1
0,2024,childhood asthma,06-17,154,1
0,2024,childhood asthma,18-64,0,0
0,2024,childhood asthma,65+,0,0
0,2024,childhood asthma,total,244,1
0,2024,chronic obstructive pulmonary disease,0-5,0,0
0,2024,chronic obstructive pulmonary disease,06-17,0,0
0,2024,chronic obstructive pulmonary disease,18-64,76,1
0,2024,chronic obstructive pulmonary disease,65+,44,0
0,2024,chronic obstructive pulmonary disease,total,120,1
0,2024,diabetes,0-5,7,0
0,2024,diabetes,06-17,12,0
0,2024,diabetes,18-64,308,1
0,2024,diabetes,65+,190,1
0,2024,diabetes,total,517,1
0,2024,low birth weight,0-5,0,0
0,2024,low birth weight,06-17,0,0
0,2024,low birth weight,18-64,92,1
0,2024,low birth weight,65+,0,0
0,2024,low birth weight,total,92,1
0,2024,coronary heart disease,0-5,0,0
0,2024,coronary heart disease,06-17,0,0
0,2024,coronary heart disease,18-64,56,1
0,2024,coronary heart disease,65+,150,1
0,2024,coronary heart disease,total,206,1
0,2024,lung cancer,0-5,0,0
0,2024,lung cancer,06-17,0,0
0,2024,lung cancer,18-64,18,0
0,2024,lung cancer,65+,65,1
0,2024,lung cancer,total,83,1
0,2024,stroke,0-5,1,0
0,2024,stroke,06-17,1,0
0,2024,stroke,18-64,31,0
0,2024,stroke,65+,115,1
0,2024,stroke,total,148,1
0,2024,total,total,1410,3
0,2025,childhood asthma,0-5,87,1
0,2025,childhood asthma,06-17,155,1
0,2025,childhood asthma,18-64,0,0
0,2025,childhood asthma,65+,0,0
