Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,95,1
0,2016,childhood asthma,06-17,119,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,214,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,45,0
0,2016,chronic obstructive pulmonary disease,65+,28,0
0,2016,chronic obstructive pulmonary disease,total,73,0
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,12,0
0,2016,diabetes,18-64,244,1
0,2016,diabetes,65+,151,1
0,2016,diabetes,total,414,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,85,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,86,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,35,0
0,2016,coronary heart disease,65+,96,1
0,2016,coronary heart disease,total,131,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,13,0
0,2016,lung cancer,65+,49,1
0,2016,lung cancer,total,62,1
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,1,0
0,2016,stroke,18-64,23,0
0,2016,stroke,65+,87,1
0,2016,stroke,total,112,1
0,2016,total,total,1092,3
0,2017,childhood asthma,0-5,94,1
0,2017,childhood asthma,06-17,118,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,212,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,45,0
0,2017,chronic obstructive pulmonary disease,65+,28,0
0,2017,chronic obstructive pulmonary disease,total,73,0
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,12,0
0,2017,diabetes,18-64,246,1
0,2017,diabetes,65+,150,1
0,2017,diabetes,total,415,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,83,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,84,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,36,0
0,2017,coronary heart disease,65+,94,1
0,2017,coronary heart disease,total,130,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,13,0
0,2017,lung cancer,65+,49,1
0,2017,lung cancer,total,62,1
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,1,0
0,2017,stroke,18-64,23,0
0,2017,stroke,65+,85,1
0,2017,stroke,total,110,1
0,2017,total,total,1086,3
0,2018,childhood asthma,0-5,93,1
0,2018,childhood asthma,06-17,119,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,212,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,45,0
0,2018,chronic obstructive pulmonary disease,65+,27,0
0,2018,chronic obstructive pulmonary disease,total,72,0
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,13,0
0,2018,diabetes,18-64,245,1
0,2018,diabetes,65+,150,1
0,2018,diabetes,total,415,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,83,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,84,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,35,0
0,2018,coronary heart disease,65+,94,1
0,2018,coronary heart disease,total,129,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,13,0
0,2018,lung cancer,65+,48,0
0,2018,lung cancer,total,61,0
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,1,0
0,2018,stroke,18-64,23,0
0,2018,stroke,65+,86,1
0,2018,stroke,total,111,1
0,2018,total,total,1084,3
0,2019,childhood asthma,0-5,92,1
0,2019,childhood asthma,06-17,119,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,211,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,45,0
0,2019,chronic obstructive pulmonary disease,65+,26,0
0,2019,chronic obstructive pulmonary disease,total,71,0
0,2019,diabetes,0-5,7,0
0,2019,diabetes,06-17,12,0
0,2019,diabetes,18-64,245,1
0,2019,diabetes,65+,150,1
0,2019,diabetes,total,414,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,82,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,83,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,36,0
0,2019,coronary heart disease,65+,94,1
0,2019,coronary heart disease,total,130,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,13,0
0,2019,lung cancer,65+,49,0
0,2019,lung cancer,total,62,0
0,2019,stroke,0-5,1,0
0,2019,stroke,06-17,1,0
0,2019,stroke,18-64,24,0
0,2019,stroke,65+,85,1
0,2019,stroke,total,111,1
0,2019,total,total,1082,3
0,2020,childhood asthma,0-5,91,1
0,2020,childhood asthma,06-17,118,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,209,1
0,2020,chronic obstructive pulmonary disease,0-5,0,0
0,2020,chronic obstructive pulmonary disease,06-17,0,0
0,2020,chronic obstructive pulmonary disease,18-64,45,0
0,2020,chronic obstructive pulmonary disease,65+,26,0
0,2020,chronic obstructive pulmonary disease,total,71,0
0,2020,diabetes,0-5,6,0
0,2020,diabetes,06-17,12,0
0,2020,diabetes,18-64,245,1
0,2020,diabetes,65+,149,1
0,2020,diabetes,total,412,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,1,0
0,2020,low birth weight,18-64,81,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,82,1
0,2020,coronary heart disease,0-5,0,0
0,2020,coronary heart disease,06-17,0,0
0,2020,coronary heart disease,18-64,36,0
0,2020,coronary heart disease,65+,93,1
0,2020,coronary heart disease,total,129,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,13,0
0,2020,lung cancer,65+,49,0
0,2020,lung cancer,total,62,0
0,2020,stroke,0-5,1,0
0,2020,stroke,06-17,1,0
0,2020,stroke,18-64,24,0
0,2020,stroke,65+,85,1
0,2020,stroke,total,111,1
0,2020,total,total,1076,3
0,2021,childhood asthma,0-5,90,1
0,2021,childhood asthma,06-17,117,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,207,1
0,2021,chronic obstructive pulmonary disease,0-5,0,0
0,2021,chronic obstructive pulmonary disease,06-17,0,0
0,2021,chronic obstructive pulmonary disease,18-64,45,0
