Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,208,1
0,2016,childhood asthma,06-17,150,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,358,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,151,1
0,2016,adult asthma,65+,16,0
0,2016,adult asthma,total,167,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,128,1
0,2016,dementia,total,128,1
0,2016,diabetes,0-5,11,0
0,2016,diabetes,06-17,19,0
0,2016,diabetes,18-64,267,1
0,2016,diabetes,65+,87,1
0,2016,diabetes,total,384,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,122,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,123,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,11,0
0,2016,lung cancer,65+,27,0
0,2016,lung cancer,total,38,0
0,2016,total,total,1198,3
0,2017,childhood asthma,0-5,209,1
0,2017,childhood asthma,06-17,149,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,358,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,152,1
0,2017,adult asthma,65+,15,0
0,2017,adult asthma,total,167,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,125,1
0,2017,dementia,total,125,1
0,2017,diabetes,0-5,11,0
0,2017,diabetes,06-17,19,0
0,2017,diabetes,18-64,268,1
0,2017,diabetes,65+,87,1
0,2017,diabetes,total,385,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,122,1
