Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,115,1
0,2016,childhood asthma,06-17,166,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,281,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,52,1
0,2016,chronic obstructive pulmonary disease,65+,22,0
0,2016,chronic obstructive pulmonary disease,total,74,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,14,0
0,2016,diabetes,18-64,256,1
0,2016,diabetes,65+,103,1
0,2016,diabetes,total,381,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,2,0
0,2016,low birth weight,18-64,132,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,134,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,41,0
0,2016,coronary heart disease,65+,71,1
0,2016,coronary heart disease,total,112,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,12,0
0,2016,lung cancer,65+,33,0
0,2016,lung cancer,total,45,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,24,0
0,2016,stroke,65+,59,1
0,2016,stroke,total,86,1
0,2016,total,total,1113,3
0,2017,childhood asthma,0-5,115,1
0,2017,childhood asthma,06-17,166,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,281,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,53,1
0,2017,chronic obstructive pulmonary disease,65+,22,0
0,2017,chronic obstructive pulmonary disease,total,75,1
0,2017,diabetes,0-5,8,0
0,2017,diabetes,06-17,14,0
0,2017,diabetes,18-64,258,1
0,2017,diabetes,65+,101,1
0,2017,diabetes,total,381,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,132,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,133,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,41,0
0,2017,coronary heart disease,65+,69,1
0,2017,coronary heart disease,total,110,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,12,0
0,2017,lung cancer,65+,32,0
0,2017,lung cancer,total,44,0
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,24,0
0,2017,stroke,65+,59,1
0,2017,stroke,total,86,1
0,2017,total,total,1110,3
0,2018,childhood asthma,0-5,114,1
0,2018,childhood asthma,06-17,164,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,278,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,53,1
0,2018,chronic obstructive pulmonary disease,65+,21,0
