Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,141,1
0,2016,childhood asthma,06-17,107,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,248,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,128,1
0,2016,adult asthma,65+,23,0
0,2016,adult asthma,total,151,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,210,1
0,2016,dementia,total,210,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,14,0
0,2016,diabetes,18-64,256,1
0,2016,diabetes,65+,134,1
0,2016,diabetes,total,412,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,121,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,122,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,13,0
0,2016,lung cancer,65+,43,0
0,2016,lung cancer,total,56,0
0,2016,total,total,1199,3
0,2017,childhood asthma,0-5,141,1
0,2017,childhood asthma,06-17,106,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,247,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,128,1
0,2017,adult asthma,65+,23,0
0,2017,adult asthma,total,151,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,203,1
0,2017,dementia,total,203,1
0,2017,diabetes,0-5,8,0
0,2017,diabetes,06-17,14,0
0,2017,diabetes,18-64,257,1
0,2017,diabetes,65+,133,1
0,2017,diabetes,total,412,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,119,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,120,1
