Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,118,1
0,2016,childhood asthma,06-17,157,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,275,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,52,1
0,2016,chronic obstructive pulmonary disease,65+,29,0
0,2016,chronic obstructive pulmonary disease,total,81,1
0,2016,diabetes,0-5,8,0
0,2016,diabetes,06-17,15,0
0,2016,diabetes,18-64,263,1
0,2016,diabetes,65+,137,1
0,2016,diabetes,total,423,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,124,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,125,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,42,0
0,2016,coronary heart disease,65+,90,1
0,2016,coronary heart disease,total,132,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,14,0
0,2016,lung cancer,65+,44,0
0,2016,lung cancer,total,58,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,25,0
0,2016,stroke,65+,78,1
0,2016,stroke,total,106,1
0,2016,total,total,1200,3
0,2017,childhood asthma,0-5,118,1
0,2017,childhood asthma,06-17,156,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,274,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,53,1
0,2017,chronic obstructive pulmonary disease,65+,28,0
0,2017,chronic obstructive pulmonary disease,total,81,1
0,2017,diabetes,0-5,8,0
0,2017,diabetes,06-17,14,0
0,2017,diabetes,18-64,262,1
0,2017,diabetes,65+,135,1
0,2017,diabetes,total,419,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,122,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,123,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,41,0
0,2017,coronary heart disease,65+,88,1
0,2017,coronary heart disease,total,129,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,14,0
0,2017,lung cancer,65+,43,0
0,2017,lung cancer,total,57,0
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,25,0
0,2017,stroke,65+,76,1
0,2017,stroke,total,104,1
0,2017,total,total,1187,3
0,2018,childhood asthma,0-5,117,1
0,2018,childhood asthma,06-17,156,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,273,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,53,1
0,2018,chronic obstructive pulmonary disease,65+,27,0
0,2018,chronic obstructive pulmonary disease,total,80,1
0,2018,diabetes,0-5,8,0
0,2018,diabetes,06-17,14,0
0,2018,diabetes,18-64,263,1
0,2018,diabetes,65+,134,1
0,2018,diabetes,total,419,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,118,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,119,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,41,0
0,2018,coronary heart disease,65+,87,1
0,2018,coronary heart disease,total,128,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,14,0
0,2018,lung cancer,65+,43,0
0,2018,lung cancer,total,57,0
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,2,0
0,2018,stroke,18-64,25,0
0,2018,stroke,65+,76,1
0,2018,stroke,total,104,1
0,2018,total,total,1180,3
0,2019,childhood asthma,0-5,116,1
0,2019,childhood asthma,06-17,155,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,271,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,53,1
0,2019,chronic obstructive pulmonary disease,65+,27,0
0,2019,chronic obstructive pulmonary disease,total,80,1
0,2019,diabetes,0-5,8,0
0,2019,diabetes,06-17,14,0
0,2019,diabetes,18-64,263,1
0,2019,diabetes,65+,134,1
0,2019,diabetes,total,419,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,118,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,119,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,41,0
0,2019,coronary heart disease,65+,85,1
0,2019,coronary heart disease,total,126,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,14,0
0,2019,lung cancer,65+,43,0
0,2019,lung cancer,total,57,0
0,2019,stroke,0-5,1,0
0,2019,stroke,06-17,2,0
0,2019,stroke,18-64,25,0
0,2019,stroke,65+,76,1
0,2019,stroke,total,104,1
0,2019,total,total,1176,3
0,2020,childhood asthma,0-5,116,1
0,2020,childhood asthma,06-17,155,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,271,1
0,2020,chronic obstructive pulmonary disease,0-5,0,0
0,2020,chronic obstructive pulmonary disease,06-17,0,0
0,2020,chronic obstructive pulmonary disease,18-64,53,1
0,2020,chronic obstructive pulmonary disease,65+,27,0
0,2020,chronic obstructive pulmonary disease,total,80,1
0,2020,diabetes,0-5,8,0
0,2020,diabetes,06-17,14,0
0,2020,diabetes,18-64,262,1
0,2020,diabetes,65+,135,1
0,2020,diabetes,total,419,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,1,0
0,2020,low birth weight,18-64,116,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,117,1
0,2020,coronary heart disease,0-5,0,0
0,2020,coronary heart disease,06-17,0,0
0,2020,coronary heart disease,18-64,41,0
0,2020,coronary heart disease,65+,85,1
0,2020,coronary heart disease,total,126,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,14,0
0,2020,lung cancer,65+,43,0
0,2020,lung cancer,total,57,0
0,2020,stroke,0-5,1,0
0,2020,stroke,06-17,2,0
0,2020,stroke,18-64,25,0
0,2020,stroke,65+,76,1
0,2020,stroke,total,104,1
0,2020,total,total,1174,3
0,2021,childhood asthma,0-5,114,1
0,2021,childhood asthma,06-17,153,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,267,1
0,2021,chronic obstructive pulmonary disease,0-5,0,0
0,2021,chronic obstructive pulmonary disease,06-17,0,0
0,2021,chronic obstructive pulmonary disease,18-64,53,1
0,2021,chronic obstructive pulmonary disease,65+,27,0
0,2021,chronic obstructive pulmonary disease,total,80,1
0,2021,diabetes,0-5,8,0
0,2021,diabetes,06-17,14,0
