Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,159,1
0,2016,childhood asthma,06-17,115,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,274,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,127,1
0,2016,adult asthma,65+,14,0
0,2016,adult asthma,total,141,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,114,1
0,2016,dementia,total,114,1
0,2016,diabetes,0-5,9,0
0,2016,diabetes,06-17,15,0
0,2016,diabetes,18-64,228,1
0,2016,diabetes,65+,79,1
0,2016,diabetes,total,331,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,137,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,138,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,10,0
0,2016,lung cancer,65+,25,0
0,2016,lung cancer,total,35,0
0,2016,total,total,1033,3
0,2017,childhood asthma,0-5,159,1
0,2017,childhood asthma,06-17,114,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,273,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,127,1
0,2017,adult asthma,65+,14,0
0,2017,adult asthma,total,141,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,111,1
0,2017,dementia,total,111,1
0,2017,diabetes,0-5,9,0
0,2017,diabetes,06-17,15,0
0,2017,diabetes,18-64,228,1
0,2017,diabetes,65+,80,1
0,2017,diabetes,total,332,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,134,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,135,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,11,0
0,2017,lung cancer,65+,25,0
0,2017,lung cancer,total,36,0
0,2017,total,total,1028,3
0,2018,childhood asthma,0-5,157,1
0,2018,childhood asthma,06-17,112,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,269,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,127,1
0,2018,adult asthma,65+,14,0
0,2018,adult asthma,total,141,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,109,1
0,2018,dementia,total,109,1
0,2018,diabetes,0-5,9,0
0,2018,diabetes,06-17,15,0
0,2018,diabetes,18-64,229,1
0,2018,diabetes,65+,79,1
0,2018,diabetes,total,332,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,133,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,134,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,11,0
0,2018,lung cancer,65+,24,0
0,2018,lung cancer,total,35,0
0,2018,total,total,1020,3
0,2019,childhood asthma,0-5,156,1
0,2019,childhood asthma,06-17,112,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,268,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,125,1
0,2019,adult asthma,65+,14,0
0,2019,adult asthma,total,139,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,108,1
0,2019,dementia,total,108,1
0,2019,diabetes,0-5,8,0
0,2019,diabetes,06-17,15,0
0,2019,diabetes,18-64,229,1
0,2019,diabetes,65+,80,1
0,2019,diabetes,total,332,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,131,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,132,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,11,0
0,2019,lung cancer,65+,24,0
0,2019,lung cancer,total,35,0
0,2019,total,total,1014,3
0,2020,childhood asthma,0-5,155,1
0,2020,childhood asthma,06-17,111,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,266,1
0,2020,adult asthma,0-5,0,0
0,2020,adult asthma,06-17,0,0
0,2020,adult asthma,18-64,125,1
0,2020,adult asthma,65+,14,0
0,2020,adult asthma,total,139,1
0,2020,dementia,0-5,0,0
0,2020,dementia,06-17,0,0
0,2020,dementia,18-64,0,0
0,2020,dementia,65+,107,1
0,2020,dementia,total,107,1
0,2020,diabetes,0-5,9,0
0,2020,diabetes,06-17,14,0
0,2020,diabetes,18-64,232,1
0,2020,diabetes,65+,80,1
0,2020,diabetes,total,335,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,1,0
0,2020,low birth weight,18-64,129,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,130,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,11,0
0,2020,lung cancer,65+,24,0
0,2020,lung cancer,total,35,0
0,2020,total,total,1012,3
0,2021,childhood asthma,0-5,156,1
0,2021,childhood asthma,06-17,110,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,266,1
0,2021,adult asthma,0-5,0,0
0,2021,adult asthma,06-17,0,0
0,2021,adult asthma,18-64,126,1
0,2021,adult asthma,65+,14,0
0,2021,adult asthma,total,140,1
0,2021,dementia,0-5,0,0
0,2021,dementia,06-17,0,0
0,2021,dementia,18-64,0,0
0,2021,dementia,65+,107,1
0,2021,dementia,total,107,1
0,2021,diabetes,0-5,9,0
0,2021,diabetes,06-17,15,0
0,2021,diabetes,18-64,234,1
0,2021,diabetes,65+,81,1
0,2021,diabetes,total,339,1
0,2021,low birth weight,0-5,0,0
0,2021,low birth weight,06-17,1,0
0,2021,low birth weight,18-64,127,1
0,2021,low birth weight,65+,0,0
0,2021,low birth weight,total,128,1
