Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,124,1
0,2016,childhood asthma,06-17,179,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,303,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,45,1
0,2016,chronic obstructive pulmonary disease,65+,19,0
0,2016,chronic obstructive pulmonary disease,total,64,1
0,2016,diabetes,0-5,9,0
0,2016,diabetes,06-17,15,0
0,2016,diabetes,18-64,228,1
0,2016,diabetes,65+,79,1
0,2016,diabetes,total,331,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,143,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,144,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,39,0
0,2016,coronary heart disease,65+,53,1
0,2016,coronary heart disease,total,92,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,11,0
0,2016,lung cancer,65+,25,0
0,2016,lung cancer,total,36,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,21,0
0,2016,stroke,65+,44,0
0,2016,stroke,total,68,0
0,2016,total,total,1038,3
0,2017,childhood asthma,0-5,124,1
0,2017,childhood asthma,06-17,178,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,302,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,46,1
0,2017,chronic obstructive pulmonary disease,65+,19,0
0,2017,chronic obstructive pulmonary disease,total,65,1
0,2017,diabetes,0-5,9,0
0,2017,diabetes,06-17,15,0
0,2017,diabetes,18-64,228,1
0,2017,diabetes,65+,80,1
0,2017,diabetes,total,332,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,141,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,142,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,39,0
0,2017,coronary heart disease,65+,53,1
0,2017,coronary heart disease,total,92,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,10,0
0,2017,lung cancer,65+,25,0
0,2017,lung cancer,total,35,0
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,21,0
0,2017,stroke,65+,44,0
0,2017,stroke,total,68,0
0,2017,total,total,1036,3
0,2018,childhood asthma,0-5,123,1
0,2018,childhood asthma,06-17,176,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,299,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,46,0
0,2018,chronic obstructive pulmonary disease,65+,19,0
0,2018,chronic obstructive pulmonary disease,total,65,0
0,2018,diabetes,0-5,9,0
0,2018,diabetes,06-17,15,0
0,2018,diabetes,18-64,230,1
0,2018,diabetes,65+,79,1
0,2018,diabetes,total,333,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,140,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,141,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,39,0
0,2018,coronary heart disease,65+,52,1
0,2018,coronary heart disease,total,91,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,11,0
0,2018,lung cancer,65+,25,0
0,2018,lung cancer,total,36,0
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,2,0
0,2018,stroke,18-64,21,0
0,2018,stroke,65+,44,0
0,2018,stroke,total,68,0
0,2018,total,total,1033,2
0,2019,childhood asthma,0-5,122,1
0,2019,childhood asthma,06-17,175,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,297,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,47,0
0,2019,chronic obstructive pulmonary disease,65+,19,0
0,2019,chronic obstructive pulmonary disease,total,66,0
0,2019,diabetes,0-5,9,0
0,2019,diabetes,06-17,15,0
0,2019,diabetes,18-64,231,1
0,2019,diabetes,65+,80,1
0,2019,diabetes,total,335,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,137,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,138,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,39,0
0,2019,coronary heart disease,65+,52,1
0,2019,coronary heart disease,total,91,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,11,0
0,2019,lung cancer,65+,25,0
