Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,122,1
0,2016,childhood asthma,06-17,100,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,222,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,116,1
0,2016,adult asthma,65+,23,0
0,2016,adult asthma,total,139,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,213,1
0,2016,dementia,total,213,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,14,0
0,2016,diabetes,18-64,233,1
0,2016,diabetes,65+,131,1
0,2016,diabetes,total,385,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,122,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,123,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,12,0
0,2016,lung cancer,65+,43,0
0,2016,lung cancer,total,55,0
0,2016,total,total,1137,3
0,2017,childhood asthma,0-5,123,1
0,2017,childhood asthma,06-17,101,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,224,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,115,1
0,2017,adult asthma,65+,22,0
0,2017,adult asthma,total,137,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,205,1
0,2017,dementia,total,205,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,14,0
0,2017,diabetes,18-64,232,1
0,2017,diabetes,65+,129,1
0,2017,diabetes,total,382,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,120,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,121,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,12,0
0,2017,lung cancer,65+,42,0
0,2017,lung cancer,total,54,0
0,2017,total,total,1123,3
0,2018,childhood asthma,0-5,123,1
0,2018,childhood asthma,06-17,100,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,223,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,115,1
0,2018,adult asthma,65+,22,0
0,2018,adult asthma,total,137,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,201,1
0,2018,dementia,total,201,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,14,0
0,2018,diabetes,18-64,232,1
0,2018,diabetes,65+,127,1
0,2018,diabetes,total,380,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,119,1
0,2018,low birth weight,65+,0,0
