Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,99,1
0,2016,childhood asthma,06-17,138,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,237,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,55,1
0,2016,chronic obstructive pulmonary disease,65+,34,0
0,2016,chronic obstructive pulmonary disease,total,89,1
0,2016,diabetes,0-5,7,0
0,2016,diabetes,06-17,14,0
0,2016,diabetes,18-64,285,1
0,2016,diabetes,65+,172,1
0,2016,diabetes,total,478,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,0,0
0,2016,low birth weight,18-64,99,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,99,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,44,0
0,2016,coronary heart disease,65+,108,1
0,2016,coronary heart disease,total,152,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,15,0
0,2016,lung cancer,65+,54,1
0,2016,lung cancer,total,69,1
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,28,0
0,2016,stroke,65+,97,1
0,2016,stroke,total,128,1
0,2016,total,total,1252,3
0,2017,childhood asthma,0-5,97,1
0,2017,childhood asthma,06-17,138,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,235,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,55,1
0,2017,chronic obstructive pulmonary disease,65+,33,0
0,2017,chronic obstructive pulmonary disease,total,88,1
0,2017,diabetes,0-5,7,0
0,2017,diabetes,06-17,14,0
0,2017,diabetes,18-64,285,1
0,2017,diabetes,65+,171,1
0,2017,diabetes,total,477,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,0,0
0,2017,low birth weight,18-64,97,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,97,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,43,0
0,2017,coronary heart disease,65+,107,1
0,2017,coronary heart disease,total,150,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,16,0
0,2017,lung cancer,65+,54,1
0,2017,lung cancer,total,70,1
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,28,0
0,2017,stroke,65+,96,1
0,2017,stroke,total,127,1
0,2017,total,total,1244,3
0,2018,childhood asthma,0-5,94,1
0,2018,childhood asthma,06-17,138,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,232,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,56,1
0,2018,chronic obstructive pulmonary disease,65+,33,0
0,2018,chronic obstructive pulmonary disease,total,89,1
0,2018,diabetes,0-5,7,0
0,2018,diabetes,06-17,13,0
0,2018,diabetes,18-64,285,1
0,2018,diabetes,65+,172,1
0,2018,diabetes,total,477,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,0,0
0,2018,low birth weight,18-64,95,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,95,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,43,0
0,2018,coronary heart disease,65+,107,1
0,2018,coronary heart disease,total,150,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,16,0
0,2018,lung cancer,65+,54,1
0,2018,lung cancer,total,70,1
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,2,0
0,2018,stroke,18-64,28,0
0,2018,stroke,65+,96,1
0,2018,stroke,total,127,1
0,2018,total,total,1240,3
0,2019,childhood asthma,0-5,92,1
0,2019,childhood asthma,06-17,136,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,228,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,56,1
0,2019,chronic obstructive pulmonary disease,65+,32,0
0,2019,chronic obstructive pulmonary disease,total,88,1
0,2019,diabetes,0-5,6,0
0,2019,diabetes,06-17,13,0
0,2019,diabetes,18-64,285,1
0,2019,diabetes,65+,171,1
0,2019,diabetes,total,475,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,0,0
0,2019,low birth weight,18-64,94,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,94,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,44,0
0,2019,coronary heart disease,65+,107,1
0,2019,coronary heart disease,total,151,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,16,0
0,2019,lung cancer,65+,55,1
0,2019,lung cancer,total,71,1
0,2019,stroke,0-5,1,0
0,2019,stroke,06-17,2,0
0,2019,stroke,18-64,28,0
0,2019,stroke,65+,96,1
0,2019,stroke,total,127,1
0,2019,total,total,1234,3
0,2020,childhood asthma,0-5,89,1
0,2020,childhood asthma,06-17,134,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,223,1
0,2020,chronic obstructive pulmonary disease,0-5,0,0
0,2020,chronic obstructive pulmonary disease,06-17,0,0
0,2020,chronic obstructive pulmonary disease,18-64,57,1
0,2020,chronic obstructive pulmonary disease,65+,32,0
0,2020,chronic obstructive pulmonary disease,total,89,1
0,2020,diabetes,0-5,6,0
0,2020,diabetes,06-17,13,0
0,2020,diabetes,18-64,287,1
0,2020,diabetes,65+,172,1
0,2020,diabetes,total,478,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,0,0
0,2020,low birth weight,18-64,93,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,93,1
0,2020,coronary heart disease,0-5,0,0
0,2020,coronary heart disease,06-17,0,0
0,2020,coronary heart disease,18-64,44,0
0,2020,coronary heart disease,65+,107,1
0,2020,coronary heart disease,total,151,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,16,0
0,2020,lung cancer,65+,55,1
0,2020,lung cancer,total,71,1
0,2020,stroke,0-5,1,0
0,2020,stroke,06-17,1,0
0,2020,stroke,18-64,28,0
0,2020,stroke,65+,97,1
0,2020,stroke,total,127,1
0,2020,total,total,1232,3
0,2021,childhood asthma,0-5,87,1
0,2021,childhood asthma,06-17,131,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,218,1
0,2021,chronic obstructive pulmonary disease,0-5,0,0
0,2021,chronic obstructive pulmonary disease,06-17,0,0
0,2021,chronic obstructive pulmonary disease,18-64,56,1
0,2021,chronic obstructive pulmonary disease,65+,32,0
0,2021,chronic obstructive pulmonary disease,total,88,1
0,2021,diabetes,0-5,6,0
0,2021,diabetes,06-17,13,0
0,2021,diabetes,18-64,287,1
0,2021,diabetes,65+,172,1
0,2021,diabetes,total,478,1
0,2021,low birth weight,0-5,0,0
0,2021,low birth weight,06-17,0,0
0,2021,low birth weight,18-64,91,1
0,2021,low birth weight,65+,0,0
0,2021,low birth weight,total,91,1
0,2021,coronary heart disease,0-5,0,0
0,2021,coronary heart disease,06-17,0,0
0,2021,coronary heart disease,18-64,44,0
0,2021,coronary heart disease,65+,108,1
0,2021,coronary heart disease,total,152,1
0,2021,lung cancer,0-5,0,0
0,2021,lung cancer,06-17,0,0
0,2021,lung cancer,18-64,16,0
0,2021,lung cancer,65+,55,1
0,2021,lung cancer,total,71,1
0,2021,stroke,0-5,1,0
0,2021,stroke,06-17,2,0
0,2021,stroke,18-64,28,0
0,2021,stroke,65+,97,1
0,2021,stroke,total,128,1
0,2021,total,total,1226,3
0,2022,childhood asthma,0-5,85,1
0,2022,childhood asthma,06-17,129,1
0,2022,childhood asthma,18-64,0,0
0,2022,childhood asthma,65+,0,0
0,2022,childhood asthma,total,214,1
0,2022,chronic obstructive pulmonary disease,0-5,0,0
0,2022,chronic obstructive pulmonary disease,06-17,0,0
0,2022,chronic obstructive pulmonary disease,18-64,57,1
0,2022,chronic obstructive pulmonary disease,65+,32,0
0,2022,chronic obstructive pulmonary disease,total,89,1
0,2022,diabetes,0-5,6,0
0,2022,diabetes,06-17,13,0
0,2022,diabetes,18-64,286,1
0,2022,diabetes,65+,174,1
0,2022,diabetes,total,479,1
0,2022,low birth weight,0-5,0,0
0,2022,low birth weight,06-17,0,0
0,2022,low birth weight,18-64,90,1
0,2022,low birth weight,65+,0,0
0,2022,low birth weight,total,90,1
0,2022,coronary heart disease,0-5,0,0
0,2022,coronary heart disease,06-17,0,0
0,2022,coronary heart disease,18-64,45,0
0,2022,coronary heart disease,65+,109,1
0,2022,coronary heart disease,total,154,1
0,2022,lung cancer,0-5,0,0
0,2022,lung cancer,06-17,0,0
0,2022,lung cancer,18-64,16,0
0,2022,lung cancer,65+,56,1
0,2022,lung cancer,total,72,1
0,2022,stroke,0-5,1,0
0,2022,stroke,06-17,2,0
0,2022,stroke,18-64,28,0
0,2022,stroke,65+,99,1
0,2022,stroke,total,130,1
0,2022,total,total,1228,3
0,2023,childhood asthma,0-5,81,1
0,2023,childhood asthma,06-17,127,1
