Boroughs,PM25 Concentration (ug/m3)
Barking and Dagenham,10.4
Barnet,10.5
Brent,10.8
Bexley,10.1
Bromley,9.92
Camden,11.9
City of London,13
City of Westminster,12.4
Croydon,10.3
Ealing,10.7
Enfield,10.3
Greenwich,10.7
Hackney,11.3
Hammersmith and Fulham,11.4
Haringey,10.8
Harrow,10.2
Havering,9.75
Hillingdon,9.95
Hounslow,10.5
Islington,11.8
Kensington and Chelsea,11.9
Kingston upon Thames,10.3
Lambeth,11.2
Lewisham,10.7
Merton,10.6
Newham,11
Redbridge,10.4
Richmond upon Thames,10.4
Southwark,11.4
Sutton,10.2
Tower Hamlets,11.7
Waltham Forest,10.6
Wandsworth,11
