Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,184,1
0,2016,childhood asthma,06-17,126,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,310,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,143,1
0,2016,adult asthma,65+,16,0
0,2016,adult asthma,total,159,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,134,1
0,2016,dementia,total,134,1
0,2016,diabetes,0-5,10,0
0,2016,diabetes,06-17,16,0
0,2016,diabetes,18-64,268,1
0,2016,diabetes,65+,93,1
0,2016,diabetes,total,387,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,126,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,127,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,12,0
0,2016,lung cancer,65+,29,0
0,2016,lung cancer,total,41,0
0,2016,total,total,1158,3
0,2017,childhood asthma,0-5,183,1
0,2017,childhood asthma,06-17,125,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,308,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,143,1
0,2017,adult asthma,65+,16,0
0,2017,adult asthma,total,159,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,131,1
0,2017,dementia,total,131,1
0,2017,diabetes,0-5,9,0
0,2017,diabetes,06-17,16,0
0,2017,diabetes,18-64,269,1
0,2017,diabetes,65+,93,1
0,2017,diabetes,total,387,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,124,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,125,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,12,0
0,2017,lung cancer,65+,28,0
0,2017,lung cancer,total,40,0
0,2017,total,total,1150,3
0,2018,childhood asthma,0-5,182,1
0,2018,childhood asthma,06-17,125,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,307,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,143,1
0,2018,adult asthma,65+,16,0
0,2018,adult asthma,total,159,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,127,1
0,2018,dementia,total,127,1
0,2018,diabetes,0-5,9,0
0,2018,diabetes,06-17,16,0
0,2018,diabetes,18-64,270,1
0,2018,diabetes,65+,92,1
0,2018,diabetes,total,387,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,124,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,125,1
