Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,131,1
0,2016,childhood asthma,06-17,208,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,339,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,55,1
0,2016,chronic obstructive pulmonary disease,65+,23,0
0,2016,chronic obstructive pulmonary disease,total,78,1
0,2016,diabetes,0-5,9,0
0,2016,diabetes,06-17,16,0
0,2016,diabetes,18-64,258,1
0,2016,diabetes,65+,91,1
0,2016,diabetes,total,374,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,135,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,136,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,44,1
0,2016,coronary heart disease,65+,65,1
0,2016,coronary heart disease,total,109,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,12,0
0,2016,lung cancer,65+,29,0
0,2016,lung cancer,total,41,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,24,0
0,2016,stroke,65+,53,1
0,2016,stroke,total,80,1
0,2016,total,total,1157,3
0,2017,childhood asthma,0-5,131,1
0,2017,childhood asthma,06-17,207,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,338,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,56,1
0,2017,chronic obstructive pulmonary disease,65+,22,0
0,2017,chronic obstructive pulmonary disease,total,78,1
0,2017,diabetes,0-5,9,0
0,2017,diabetes,06-17,16,0
0,2017,diabetes,18-64,260,1
0,2017,diabetes,65+,90,1
0,2017,diabetes,total,375,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,135,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,136,1
0,2017,coronary heart disease,0-5,0,0
0,2017,coronary heart disease,06-17,0,0
0,2017,coronary heart disease,18-64,44,1
0,2017,coronary heart disease,65+,65,1
0,2017,coronary heart disease,total,109,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,12,0
0,2017,lung cancer,65+,28,0
0,2017,lung cancer,total,40,0
0,2017,stroke,0-5,1,0
0,2017,stroke,06-17,2,0
0,2017,stroke,18-64,24,0
0,2017,stroke,65+,51,1
0,2017,stroke,total,78,1
0,2017,total,total,1154,3
0,2018,childhood asthma,0-5,130,1
0,2018,childhood asthma,06-17,205,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,335,1
0,2018,chronic obstructive pulmonary disease,0-5,0,0
0,2018,chronic obstructive pulmonary disease,06-17,0,0
0,2018,chronic obstructive pulmonary disease,18-64,56,1
0,2018,chronic obstructive pulmonary disease,65+,22,0
0,2018,chronic obstructive pulmonary disease,total,78,1
0,2018,diabetes,0-5,9,0
0,2018,diabetes,06-17,16,0
0,2018,diabetes,18-64,261,1
0,2018,diabetes,65+,90,1
0,2018,diabetes,total,376,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,132,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,133,1
0,2018,coronary heart disease,0-5,0,0
0,2018,coronary heart disease,06-17,0,0
0,2018,coronary heart disease,18-64,45,1
0,2018,coronary heart disease,65+,64,1
0,2018,coronary heart disease,total,109,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,12,0
0,2018,lung cancer,65+,29,0
0,2018,lung cancer,total,41,0
0,2018,stroke,0-5,1,0
0,2018,stroke,06-17,2,0
0,2018,stroke,18-64,24,0
0,2018,stroke,65+,51,1
0,2018,stroke,total,78,1
0,2018,total,total,1150,3
0,2019,childhood asthma,0-5,130,1
0,2019,childhood asthma,06-17,204,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,334,1
0,2019,chronic obstructive pulmonary disease,0-5,0,0
0,2019,chronic obstructive pulmonary disease,06-17,0,0
0,2019,chronic obstructive pulmonary disease,18-64,57,1
0,2019,chronic obstructive pulmonary disease,65+,22,0
0,2019,chronic obstructive pulmonary disease,total,79,1
0,2019,diabetes,0-5,9,0
0,2019,diabetes,06-17,16,0
0,2019,diabetes,18-64,263,1
0,2019,diabetes,65+,90,1
0,2019,diabetes,total,378,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,130,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,131,1
0,2019,coronary heart disease,0-5,0,0
0,2019,coronary heart disease,06-17,0,0
0,2019,coronary heart disease,18-64,46,1
0,2019,coronary heart disease,65+,63,1
0,2019,coronary heart disease,total,109,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,12,0
0,2019,lung cancer,65+,29,0
0,2019,lung cancer,total,41,0
0,2019,stroke,0-5,1,0
0,2019,stroke,06-17,2,0
0,2019,stroke,18-64,24,0
0,2019,stroke,65+,51,1
0,2019,stroke,total,78,1
0,2019,total,total,1150,3
0,2020,childhood asthma,0-5,130,1
0,2020,childhood asthma,06-17,202,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,332,1
0,2020,chronic obstructive pulmonary disease,0-5,0,0
0,2020,chronic obstructive pulmonary disease,06-17,0,0
0,2020,chronic obstructive pulmonary disease,18-64,57,1
0,2020,chronic obstructive pulmonary disease,65+,22,0
0,2020,chronic obstructive pulmonary disease,total,79,1
0,2020,diabetes,0-5,9,0
0,2020,diabetes,06-17,15,0
0,2020,diabetes,18-64,263,1
0,2020,diabetes,65+,91,1
0,2020,diabetes,total,378,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,1,0
0,2020,low birth weight,18-64,128,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,129,1
0,2020,coronary heart disease,0-5,0,0
0,2020,coronary heart disease,06-17,0,0
0,2020,coronary heart disease,18-64,46,1
0,2020,coronary heart disease,65+,63,1
0,2020,coronary heart disease,total,109,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,13,0
0,2020,lung cancer,65+,29,0
0,2020,lung cancer,total,42,0
0,2020,stroke,0-5,1,0
0,2020,stroke,06-17,2,0
0,2020,stroke,18-64,25,0
0,2020,stroke,65+,51,1
0,2020,stroke,total,79,1
0,2020,total,total,1148,3
0,2021,childhood asthma,0-5,129,1
0,2021,childhood asthma,06-17,201,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,330,1
0,2021,chronic obstructive pulmonary disease,0-5,0,0
0,2021,chronic obstructive pulmonary disease,06-17,0,0
0,2021,chronic obstructive pulmonary disease,18-64,58,1
0,2021,chronic obstructive pulmonary disease,65+,23,0
0,2021,chronic obstructive pulmonary disease,total,81,1
0,2021,diabetes,0-5,9,0
0,2021,diabetes,06-17,16,0
0,2021,diabetes,18-64,262,1
0,2021,diabetes,65+,91,1
0,2021,diabetes,total,378,1
0,2021,low birth weight,0-5,0,0
0,2021,low birth weight,06-17,1,0
0,2021,low birth weight,18-64,126,1
0,2021,low birth weight,65+,0,0
0,2021,low birth weight,total,127,1
0,2021,coronary heart disease,0-5,0,0
0,2021,coronary heart disease,06-17,0,0
0,2021,coronary heart disease,18-64,47,1
0,2021,coronary heart disease,65+,63,1
0,2021,coronary heart disease,total,110,1
0,2021,lung cancer,0-5,0,0
0,2021,lung cancer,06-17,0,0
0,2021,lung cancer,18-64,13,0
0,2021,lung cancer,65+,29,0
0,2021,lung cancer,total,42,0
0,2021,stroke,0-5,1,0
0,2021,stroke,06-17,2,0
0,2021,stroke,18-64,25,0
0,2021,stroke,65+,51,1
0,2021,stroke,total,79,1
0,2021,total,total,1147,3
0,2022,childhood asthma,0-5,129,1
0,2022,childhood asthma,06-17,198,1
0,2022,childhood asthma,18-64,0,0
0,2022,childhood asthma,65+,0,0
0,2022,childhood asthma,total,327,1
0,2022,chronic obstructive pulmonary disease,0-5,0,0
0,2022,chronic obstructive pulmonary disease,06-17,0,0
0,2022,chronic obstructive pulmonary disease,18-64,58,1
0,2022,chronic obstructive pulmonary disease,65+,23,0
