Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,213,1
0,2016,childhood asthma,06-17,150,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,363,1
0,2016,adult asthma,0-5,0,0
0,2016,adult asthma,06-17,0,0
0,2016,adult asthma,18-64,147,1
0,2016,adult asthma,65+,12,0
0,2016,adult asthma,total,159,1
0,2016,dementia,0-5,0,0
0,2016,dementia,06-17,0,0
0,2016,dementia,18-64,0,0
0,2016,dementia,65+,101,1
0,2016,dementia,total,101,1
0,2016,diabetes,0-5,11,0
0,2016,diabetes,06-17,19,0
0,2016,diabetes,18-64,240,1
0,2016,diabetes,65+,69,1
0,2016,diabetes,total,339,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,138,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,139,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,9,0
0,2016,lung cancer,65+,22,0
0,2016,lung cancer,total,31,0
0,2016,total,total,1132,3
0,2017,childhood asthma,0-5,214,1
0,2017,childhood asthma,06-17,147,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,361,1
0,2017,adult asthma,0-5,0,0
0,2017,adult asthma,06-17,0,0
0,2017,adult asthma,18-64,145,1
0,2017,adult asthma,65+,12,0
0,2017,adult asthma,total,157,1
0,2017,dementia,0-5,0,0
0,2017,dementia,06-17,0,0
0,2017,dementia,18-64,0,0
0,2017,dementia,65+,97,1
0,2017,dementia,total,97,1
0,2017,diabetes,0-5,11,0
0,2017,diabetes,06-17,19,0
0,2017,diabetes,18-64,240,1
0,2017,diabetes,65+,69,1
0,2017,diabetes,total,339,1
0,2017,low birth weight,0-5,0,0
0,2017,low birth weight,06-17,1,0
0,2017,low birth weight,18-64,135,1
0,2017,low birth weight,65+,0,0
0,2017,low birth weight,total,136,1
0,2017,lung cancer,0-5,0,0
0,2017,lung cancer,06-17,0,0
0,2017,lung cancer,18-64,9,0
0,2017,lung cancer,65+,21,0
0,2017,lung cancer,total,30,0
0,2017,total,total,1120,3
0,2018,childhood asthma,0-5,211,1
0,2018,childhood asthma,06-17,145,1
0,2018,childhood asthma,18-64,0,0
0,2018,childhood asthma,65+,0,0
0,2018,childhood asthma,total,356,1
0,2018,adult asthma,0-5,0,0
0,2018,adult asthma,06-17,0,0
0,2018,adult asthma,18-64,146,1
0,2018,adult asthma,65+,12,0
0,2018,adult asthma,total,158,1
0,2018,dementia,0-5,0,0
0,2018,dementia,06-17,0,0
0,2018,dementia,18-64,0,0
0,2018,dementia,65+,94,1
0,2018,dementia,total,94,1
0,2018,diabetes,0-5,10,0
0,2018,diabetes,06-17,19,0
0,2018,diabetes,18-64,242,1
0,2018,diabetes,65+,69,1
0,2018,diabetes,total,340,1
0,2018,low birth weight,0-5,0,0
0,2018,low birth weight,06-17,1,0
0,2018,low birth weight,18-64,132,1
0,2018,low birth weight,65+,0,0
0,2018,low birth weight,total,133,1
0,2018,lung cancer,0-5,0,0
0,2018,lung cancer,06-17,0,0
0,2018,lung cancer,18-64,9,0
0,2018,lung cancer,65+,21,0
0,2018,lung cancer,total,30,0
0,2018,total,total,1111,3
0,2019,childhood asthma,0-5,211,1
0,2019,childhood asthma,06-17,144,1
0,2019,childhood asthma,18-64,0,0
0,2019,childhood asthma,65+,0,0
0,2019,childhood asthma,total,355,1
0,2019,adult asthma,0-5,0,0
0,2019,adult asthma,06-17,0,0
0,2019,adult asthma,18-64,145,1
0,2019,adult asthma,65+,12,0
0,2019,adult asthma,total,157,1
0,2019,dementia,0-5,0,0
0,2019,dementia,06-17,0,0
0,2019,dementia,18-64,0,0
0,2019,dementia,65+,92,1
0,2019,dementia,total,92,1
0,2019,diabetes,0-5,10,0
0,2019,diabetes,06-17,18,0
0,2019,diabetes,18-64,243,1
0,2019,diabetes,65+,69,1
0,2019,diabetes,total,340,1
0,2019,low birth weight,0-5,0,0
0,2019,low birth weight,06-17,1,0
0,2019,low birth weight,18-64,130,1
0,2019,low birth weight,65+,0,0
0,2019,low birth weight,total,131,1
0,2019,lung cancer,0-5,0,0
0,2019,lung cancer,06-17,0,0
0,2019,lung cancer,18-64,9,0
0,2019,lung cancer,65+,21,0
0,2019,lung cancer,total,30,0
0,2019,total,total,1105,3
0,2020,childhood asthma,0-5,209,1
0,2020,childhood asthma,06-17,143,1
0,2020,childhood asthma,18-64,0,0
0,2020,childhood asthma,65+,0,0
0,2020,childhood asthma,total,352,1
0,2020,adult asthma,0-5,0,0
0,2020,adult asthma,06-17,0,0
0,2020,adult asthma,18-64,143,1
0,2020,adult asthma,65+,12,0
0,2020,adult asthma,total,155,1
0,2020,dementia,0-5,0,0
0,2020,dementia,06-17,0,0
0,2020,dementia,18-64,0,0
0,2020,dementia,65+,91,1
0,2020,dementia,total,91,1
0,2020,diabetes,0-5,10,0
0,2020,diabetes,06-17,18,0
0,2020,diabetes,18-64,243,1
0,2020,diabetes,65+,70,1
0,2020,diabetes,total,341,1
0,2020,low birth weight,0-5,0,0
0,2020,low birth weight,06-17,1,0
0,2020,low birth weight,18-64,127,1
0,2020,low birth weight,65+,0,0
0,2020,low birth weight,total,128,1
0,2020,lung cancer,0-5,0,0
0,2020,lung cancer,06-17,0,0
0,2020,lung cancer,18-64,9,0
0,2020,lung cancer,65+,21,0
0,2020,lung cancer,total,30,0
0,2020,total,total,1097,3
0,2021,childhood asthma,0-5,210,1
0,2021,childhood asthma,06-17,141,1
0,2021,childhood asthma,18-64,0,0
0,2021,childhood asthma,65+,0,0
0,2021,childhood asthma,total,351,1
0,2021,adult asthma,0-5,0,0
