Scenario,Year,Disease,AgeGroup,Incidence,95% CL
0,2016,childhood asthma,0-5,149,1
0,2016,childhood asthma,06-17,250,1
0,2016,childhood asthma,18-64,0,0
0,2016,childhood asthma,65+,0,0
0,2016,childhood asthma,total,399,1
0,2016,chronic obstructive pulmonary disease,0-5,0,0
0,2016,chronic obstructive pulmonary disease,06-17,0,0
0,2016,chronic obstructive pulmonary disease,18-64,45,1
0,2016,chronic obstructive pulmonary disease,65+,17,0
0,2016,chronic obstructive pulmonary disease,total,62,1
0,2016,diabetes,0-5,11,0
0,2016,diabetes,06-17,20,0
0,2016,diabetes,18-64,231,1
0,2016,diabetes,65+,68,1
0,2016,diabetes,total,330,1
0,2016,low birth weight,0-5,0,0
0,2016,low birth weight,06-17,1,0
0,2016,low birth weight,18-64,149,1
0,2016,low birth weight,65+,0,0
0,2016,low birth weight,total,150,1
0,2016,coronary heart disease,0-5,0,0
0,2016,coronary heart disease,06-17,0,0
0,2016,coronary heart disease,18-64,41,1
0,2016,coronary heart disease,65+,50,1
0,2016,coronary heart disease,total,91,1
0,2016,lung cancer,0-5,0,0
0,2016,lung cancer,06-17,0,0
0,2016,lung cancer,18-64,9,0
0,2016,lung cancer,65+,22,0
0,2016,lung cancer,total,31,0
0,2016,stroke,0-5,1,0
0,2016,stroke,06-17,2,0
0,2016,stroke,18-64,20,0
0,2016,stroke,65+,39,1
0,2016,stroke,total,62,1
0,2016,total,total,1125,3
0,2017,childhood asthma,0-5,148,1
0,2017,childhood asthma,06-17,247,1
0,2017,childhood asthma,18-64,0,0
0,2017,childhood asthma,65+,0,0
0,2017,childhood asthma,total,395,1
0,2017,chronic obstructive pulmonary disease,0-5,0,0
0,2017,chronic obstructive pulmonary disease,06-17,0,0
0,2017,chronic obstructive pulmonary disease,18-64,45,1
0,2017,chronic obstructive pulmonary disease,65+,17,0
0,2017,chronic obstructive pulmonary disease,total,62,1
0,2017,diabetes,0-5,11,0
0,2017,diabetes,06-17,19,0
0,2017,diabetes,18-64,232,1
